event_id,account_id,feature_id,event_timestamp,consumed_units,region
5000146,1004,108,2025-03-06 09:57:41,254,US-WEST
5000147,1004,106,2025-03-11 03:10:49,268,US-EAST
5000148,1004,102,2025-05-25 20:49:13,112,AP-SOUTH
5000149,1004,102,2025-05-08 22:56:47,110,AP-SOUTH
5000150,1004,102,2025-05-27 04:01:29,387,EU-CENTRAL
5000151,1004,101,2025-03-10 01:11:50,49,EU-CENTRAL
5000152,1004,102,2025-03-30 08:26:24,299,AP-SOUTH
5000153,1004,107,2025-04-10 00:24:43,226,US-EAST
5000154,1004,101,2025-05-19 02:48:47,333,US-EAST
5000155,1004,102,2025-05-04 03:18:50,188,EU-CENTRAL
5000156,1004,102,2025-04-26 12:25:52,149,US-EAST
5000157,1004,108,2025-05-08 07:08:47,85,AP-SOUTH
5000158,1004,105,2025-05-21 04:19:43,496,EU-CENTRAL
5000159,1004,101,2025-05-11 04:07:02,288,US-EAST
5000160,1005,107,2025-05-10 02:19:13,280,EU-CENTRAL
5000161,1005,104,2025-05-22 16:09:10,216,US-WEST
5000162,1005,104,2025-04-02 06:07:11,320,US-EAST
5000163,1005,108,2025-05-10 02:18:42,335,US-EAST
5000164,1005,105,2025-03-26 23:37:31,55,EU-CENTRAL
5000165,1005,106,2025-05-25 20:15:06,70,EU-CENTRAL
5000166,1005,102,2025-03-25 10:31:28,465,EU-CENTRAL
5000167,1005,105,2025-05-14 04:36:36,360,EU-CENTRAL
5000168,1005,106,2025-04-24 05:00:20,495,US-WEST
5000169,1005,104,2025-05-22 13:17:53,369,EU-CENTRAL
5000170,1005,103,2025-04-12 15:29:28,352,EU-CENTRAL
5000171,1005,105,2025-05-10 03:11:41,254,US-EAST
5000172,1005,105,2025-03-18 17:12:16,444,US-EAST
5000173,1005,102,2025-03-03 16:40:01,461,AP-SOUTH
5000174,1005,104,2025-03-05 17:16:34,469,AP-SOUTH
5000175,1005,103,2025-04-20 07:57:49,192,EU-CENTRAL
5000176,1005,103,2025-05-04 16:05:25,242,EU-CENTRAL
5000177,1005,101,2025-03-31 19:43:10,344,US-WEST
5000178,1005,108,2025-03-23 18:36:42,86,US-WEST
5000179,1005,108,2025-04-15 01:14:48,485,AP-SOUTH
5000180,1005,104,2025-04-03 11:14:02,37,US-WEST
5000181,1005,106,2025-04-30 14:56:02,203,US-EAST
5000182,1005,106,2025-05-30 16:40:53,57,EU-CENTRAL
5000183,1005,105,2025-05-09 18:11:24,301,AP-SOUTH
5000184,1005,106,2025-05-23 02:33:16,305,AP-SOUTH
5000185,1005,104,2025-04-21 11:52:55,269,EU-CENTRAL
5000186,1005,108,2025-05-01 19:00:32,410,US-WEST
5000187,1005,108,2025-03-30 02:32:41,89,EU-CENTRAL
5000188,1005,104,2025-03-24 05:23:38,81,US-EAST
5000189,1005,104,2025-04-12 23:07:30,217,AP-SOUTH
5000190,1005,108,2025-05-15 05:41:53,112,AP-SOUTH
5000191,1005,101,2025-03-06 04:36:37,129,US-WEST
5000192,1005,103,2025-05-05 01:57:36,327,US-WEST
5000193,1005,101,2025-04-03 05:33:25,90,US-EAST
5000194,1005,105,2025-03-11 06:28:38,489,AP-SOUTH
5000195,1005,108,2025-03-29 13:38:09,92,US-WEST
5000196,1005,105,2025-05-27 10:59:29,90,US-EAST
5000197,1005,104,2025-04-19 04:06:01,198,US-WEST
5000198,1005,107,2025-03-20 19:06:11,428,AP-SOUTH
5000199,1005,101,2025-05-08 16:48:07,454,US-EAST
5000200,1005,108,2025-03-17 19:34:52,342,US-EAST
5000201,1005,107,2025-04-23 11:55:02,272,AP-SOUTH
5000202,1005,104,2025-05-01 12:22:37,485,US-EAST
5000203,1005,107,2025-04-02 15:49:14,73,US-EAST
5000204,1005,105,2025-05-09 13:16:12,311,US-EAST
5000205,1005,101,2025-05-06 03:33:00,300,AP-SOUTH
5000206,1005,104,2025-04-10 13:23:06,357,US-WEST
5000207,1005,107,2025-05-14 08:16:54,338,AP-SOUTH
5000208,1006,106,2025-04-05 21:25:48,318,US-WEST
5000209,1006,107,2025-05-11 15:11:23,287,AP-SOUTH
5000210,1006,105,2025-05-13 11:49:45,162,AP-SOUTH
5000211,1006,103,2025-05-24 03:47:14,442,AP-SOUTH
5000212,1006,103,2025-03-28 16:25:50,56,EU-CENTRAL
5000213,1006,101,2025-04-19 20:00:51,87,US-EAST
5000214,1006,103,2025-05-16 13:05:04,246,EU-CENTRAL
5000215,1006,104,2025-03-11 19:02:46,194,AP-SOUTH
5000216,1006,107,2025-05-23 16:18:45,319,US-EAST
5000217,1006,103,2025-05-03 14:00:12,332,EU-CENTRAL
5000218,1006,104,2025-05-16 16:33:44,22,US-WEST
5000219,1006,103,2025-03-05 11:15:41,350,US-EAST
5000220,1006,103,2025-04-05 12:22:42,49,AP-SOUTH
5000221,1006,107,2025-03-26 16:00:47,305,US-EAST
5000222,1006,102,2025-04-06 23:53:35,286,EU-CENTRAL
5000223,1006,106,2025-04-05 07:38:12,498,AP-SOUTH
5000224,1006,107,2025-03-01 08:11:26,299,US-EAST
5000225,1006,102,2025-04-07 10:07:51,262,EU-CENTRAL
5000226,1006,105,2025-04-26 12:36:30,360,US-WEST
5000227,1006,106,2025-04-28 21:29:57,497,US-EAST
5000228,1006,108,2025-04-03 02:24:40,64,US-WEST
5000229,1006,104,2025-04-10 13:22:33,414,US-EAST
5000230,1006,105,2025-04-06 02:25:43,132,EU-CENTRAL
5000231,1006,102,2025-03-23 15:20:22,288,US-WEST
5000232,1007,105,2025-05-27 06:31:47,98,US-WEST
5000233,1007,104,2025-03-31 08:13:14,381,US-WEST
5000234,1007,104,2025-05-19 11:09:49,433,US-EAST
5000235,1007,102,2025-03-11 21:42:31,476,US-EAST
5000236,1007,101,2025-05-01 11:39:20,439,AP-SOUTH
5000237,1007,105,2025-03-24 16:17:25,256,US-WEST
5000238,1007,103,2025-05-07 13:30:34,32,US-EAST
5000239,1007,106,2025-05-27 05:29:07,206,AP-SOUTH
5000240,1007,106,2025-03-02 00:43:13,357,AP-SOUTH
5000241,1007,102,2025-04-16 19:55:16,171,US-WEST
5000242,1007,105,2025-04-04 15:39:21,126,EU-CENTRAL
5000243,1007,103,2025-04-24 06:26:44,260,EU-CENTRAL
5000244,1007,106,2025-04-21 08:28:11,442,US-WEST
5000245,1007,104,2025-03-13 23:17:51,421,US-WEST
5000246,1007,107,2025-04-18 06:09:51,443,US-WEST
5000247,1007,108,2025-03-02 05:26:31,417,US-WEST
5000248,1007,106,2025-05-02 09:16:35,407,US-EAST
5000249,1007,107,2025-05-28 05:03:13,55,EU-CENTRAL
5000250,1007,108,2025-05-20 03:28:47,434,EU-CENTRAL
5000251,1007,105,2025-04-16 17:35:59,189,EU-CENTRAL
5000252,1007,106,2025-04-22 03:22:55,15,US-WEST
5000253,1007,103,2025-04-06 11:20:43,404,AP-SOUTH
5000254,1007,108,2025-03-11 12:39:18,460,AP-SOUTH
5000255,1007,103,2025-03-22 20:51:59,449,EU-CENTRAL
5000256,1007,107,2025-05-18 18:25:54,328,US-EAST
5000257,1007,102,2025-04-13 07:20:20,87,EU-CENTRAL
5000258,1007,105,2025-05-22 12:17:56,314,AP-SOUTH
5000259,1007,106,2025-05-15 16:28:26,387,US-WEST
5000260,1007,103,2025-03-03 04:46:15,442,EU-CENTRAL
5000261,1007,102,2025-03-22 12:06:06,112,US-EAST
5000262,1007,108,2025-03-07 00:49:25,285,US-EAST
5000263,1007,102,2025-05-19 04:05:41,139,AP-SOUTH
5000264,1007,105,2025-04-01 23:18:28,122,US-WEST
5000265,1007,103,2025-03-22 00:02:42,274,EU-CENTRAL
5000266,1007,106,2025-04-30 14:55:34,447,EU-CENTRAL
5000267,1007,108,2025-05-29 17:11:37,74,AP-SOUTH
5000268,1007,107,2025-05-21 20:34:19,273,EU-CENTRAL
5000269,1007,108,2025-03-30 02:28:19,281,EU-CENTRAL
5000270,1007,107,2025-03-20 09:00:00,138,US-WEST
5000271,1007,106,2025-04-30 17:00:44,151,AP-SOUTH
5000272,1007,108,2025-03-02 13:51:18,158,US-WEST
5000273,1007,101,2025-04-17 06:26:56,285,AP-SOUTH
5000274,1007,107,2025-03-21 22:47:41,132,AP-SOUTH
5000275,1007,107,2025-04-03 02:27:40,117,US-WEST
5000276,1007,105,2025-05-23 23:34:51,150,EU-CENTRAL
5000277,1007,107,2025-03-09 05:08:18,101,US-EAST
5000278,1007,108,2025-04-27 08:44:39,321,AP-SOUTH
5000279,1007,104,2025-03-03 04:03:34,169,US-EAST
5000280,1007,103,2025-04-06 08:08:45,57,AP-SOUTH
5000281,1007,101,2025-03-12 04:00:31,124,US-WEST
5000282,1007,106,2025-04-09 15:23:29,220,US-EAST
5000283,1007,106,2025-03-19 01:17:49,46,AP-SOUTH
5000284,1007,102,2025-04-30 05:12:57,283,EU-CENTRAL
5000285,1007,107,2025-03-02 03:49:45,429,US-WEST
5000286,1007,107,2025-04-26 07:47:02,399,US-WEST
5000287,1007,108,2025-03-13 16:42:13,381,AP-SOUTH
5000288,1007,107,2025-04-09 10:10:40,353,US-EAST
5000289,1007,102,2025-05-01 20:19:12,134,EU-CENTRAL
5000290,1007,101,2025-05-25 06:07:15,447,AP-SOUTH
5000291,1007,106,2025-03-22 08:37:07,12,AP-SOUTH
5000292,1007,104,2025-03-06 18:50:44,9,AP-SOUTH
5000293,1007,103,2025-03-12 07:10:31,195,US-EAST
5000294,1007,106,2025-05-20 01:03:22,481,US-WEST
5000295,1007,102,2025-05-02 07:20:35,69,EU-CENTRAL
5000296,1007,108,2025-03-25 00:44:24,380,EU-CENTRAL
5000297,1007,103,2025-03-06 15:45:28,133,EU-CENTRAL
5000298,1007,108,2025-05-12 05:34:22,102,EU-CENTRAL
5000299,1007,108,2025-05-16 17:10:04,145,US-WEST
5000300,1007,108,2025-04-03 17:23:29,156,US-EAST
5000301,1007,107,2025-03-24 00:39:54,380,EU-CENTRAL
5000302,1007,104,2025-03-09 21:34:52,169,AP-SOUTH
5000303,1007,104,2025-05-27 15:49:35,273,US-WEST
5000304,1007,105,2025-04-22 20:20:07,170,US-EAST
5000305,1008,102,2025-03-17 05:55:02,27,US-WEST
5000306,1008,102,2025-03-25 03:02:36,253,AP-SOUTH
5000307,1008,108,2025-05-19 22:37:16,274,US-EAST
5000308,1008,106,2025-05-17 22:04:00,118,US-WEST
5000309,1008,108,2025-03-11 14:51:40,480,US-EAST
5000310,1008,106,2025-04-23 11:50:45,290,US-EAST
5000311,1008,105,2025-03-06 23:04:53,275,EU-CENTRAL
5000312,1008,102,2025-03-28 16:06:06,488,US-WEST
5000313,1008,107,2025-03-25 16:42:15,102,US-WEST
5000314,1008,107,2025-03-14 20:36:22,387,AP-SOUTH
5000315,1008,107,2025-03-14 05:50:11,457,AP-SOUTH
5000316,1008,106,2025-03-21 17:38:28,341,EU-CENTRAL
5000317,1008,106,2025-04-11 11:26:48,286,AP-SOUTH
5000318,1008,106,2025-03-31 18:34:13,316,AP-SOUTH
5000319,1008,105,2025-04-27 14:25:00,189,US-EAST
5000320,1008,105,2025-03-03 16:08:56,310,EU-CENTRAL
5000321,1008,101,2025-03-29 06:54:20,158,US-EAST
5000322,1008,105,2025-05-10 16:35:36,475,US-WEST
5000323,1008,102,2025-04-28 11:09:08,24,EU-CENTRAL
5000324,1008,106,2025-05-14 07:14:16,460,EU-CENTRAL
5000325,1008,102,2025-04-21 18:58:13,297,US-EAST
5000326,1008,106,2025-05-01 05:31:52,410,US-EAST
5000327,1008,105,2025-05-13 12:05:49,24,US-EAST
5000328,1008,106,2025-04-25 13:59:55,183,US-EAST
5000329,1008,104,2025-05-23 19:59:00,387,AP-SOUTH
5000330,1008,101,2025-05-07 01:20:34,161,US-WEST
5000331,1008,106,2025-05-29 07:09:03,262,AP-SOUTH
5000332,1008,108,2025-05-16 18:32:05,390,US-WEST
5000333,1008,107,2025-04-20 04:08:21,153,US-EAST
5000334,1008,108,2025-03-07 17:25:16,297,US-EAST
5000335,1008,107,2025-04-25 22:08:48,261,US-WEST
5000336,1008,108,2025-03-26 15:25:41,291,US-WEST
5000337,1008,104,2025-03-10 08:49:27,129,EU-CENTRAL
5000338,1008,102,2025-05-25 13:27:23,62,EU-CENTRAL
5000339,1008,104,2025-04-14 19:41:01,169,EU-CENTRAL
5000340,1008,103,2025-05-18 14:39:09,184,AP-SOUTH
5000341,1008,101,2025-03-30 06:43:23,478,US-WEST
5000342,1008,102,2025-03-07 07:39:59,62,US-WEST
5000343,1008,105,2025-04-13 22:51:07,12,EU-CENTRAL
5000344,1008,108,2025-03-03 10:13:47,246,US-WEST
5000345,1008,104,2025-05-06 08:35:30,284,US-WEST
5000346,1008,101,2025-05-14 21:33:02,197,EU-CENTRAL
5000347,1008,103,2025-04-06 06:50:44,35,EU-CENTRAL
5000348,1008,101,2025-05-23 00:04:24,243,EU-CENTRAL
5000349,1008,106,2025-03-14 00:18:55,447,AP-SOUTH
5000350,1008,104,2025-05-05 22:06:57,199,EU-CENTRAL
5000351,1009,102,2025-03-26 16:29:35,100,US-EAST
5000352,1009,101,2025-05-07 09:21:31,131,AP-SOUTH
5000353,1009,103,2025-04-14 21:22:22,14,EU-CENTRAL
5000354,1009,104,2025-04-05 01:40:16,261,AP-SOUTH
5000355,1009,101,2025-05-11 08:14:09,488,EU-CENTRAL
5000356,1009,107,2025-03-18 02:46:24,341,US-WEST
5000357,1009,107,2025-05-13 04:27:19,128,EU-CENTRAL
5000358,1009,108,2025-03-17 06:41:08,282,US-WEST
5000359,1009,103,2025-05-28 22:57:33,163,US-WEST
5000360,1009,107,2025-03-19 20:59:36,470,US-WEST
5000361,1009,106,2025-05-11 17:46:07,39,US-WEST
5000362,1009,106,2025-03-19 23:01:48,434,EU-CENTRAL
5000363,1009,107,2025-04-22 09:28:47,497,EU-CENTRAL
5000364,1009,103,2025-03-25 03:08:11,403,US-EAST
5000365,1009,105,2025-05-12 19:14:38,315,US-WEST
5000366,1009,104,2025-03-04 11:05:44,356,AP-SOUTH
5000367,1009,103,2025-05-17 15:45:41,262,EU-CENTRAL
5000368,1009,103,2025-04-19 15:30:08,441,US-WEST
5000369,1009,104,2025-03-05 13:48:00,120,EU-CENTRAL
5000370,1009,107,2025-05-25 06:48:13,118,US-EAST
5000371,1009,103,2025-04-26 19:31:44,479,EU-CENTRAL
5000372,1009,108,2025-04-01 13:25:49,459,US-EAST
5000373,1009,107,2025-04-10 12:39:47,373,US-EAST
5000374,1009,102,2025-04-28 01:56:15,236,AP-SOUTH
5000375,1009,101,2025-04-19 16:48:40,290,US-EAST
5000376,1009,104,2025-04-26 12:56:19,154,EU-CENTRAL
5000377,1009,108,2025-04-24 09:39:58,90,US-EAST
5000378,1009,103,2025-05-22 14:05:46,242,US-EAST
5000379,1009,103,2025-05-14 22:34:08,403,AP-SOUTH
5000380,1009,107,2025-04-27 00:11:29,170,US-WEST
5000381,1009,108,2025-04-02 10:44:41,51,US-WEST
5000382,1009,102,2025-03-15 22:28:40,51,EU-CENTRAL
5000383,1009,102,2025-05-30 12:46:50,273,US-WEST
5000384,1009,107,2025-04-18 01:49:10,286,EU-CENTRAL
5000385,1009,103,2025-03-19 05:49:45,88,US-EAST
5000386,1009,107,2025-04-09 23:49:28,162,EU-CENTRAL
5000387,1009,103,2025-03-17 06:00:39,65,EU-CENTRAL
5000388,1009,101,2025-05-03 15:34:51,239,US-EAST
5000389,1009,108,2025-03-28 18:42:30,126,AP-SOUTH
5000390,1009,107,2025-03-11 19:38:00,231,US-WEST
5000391,1009,105,2025-05-20 17:52:52,322,US-WEST
5000392,1009,101,2025-03-19 01:41:22,99,US-EAST
5000393,1009,103,2025-03-05 21:36:53,442,EU-CENTRAL
5000394,1009,106,2025-03-12 01:06:26,476,US-WEST
5000395,1009,103,2025-04-06 19:42:44,349,US-WEST
5000396,1009,108,2025-05-14 11:59:02,388,US-EAST
5000397,1009,105,2025-04-17 12:52:04,170,AP-SOUTH
5000398,1009,102,2025-04-30 04:07:44,154,EU-CENTRAL
5000399,1009,106,2025-04-22 16:13:44,274,US-WEST
5000400,1009,101,2025-05-13 23:40:33,60,US-EAST
5000401,1009,108,2025-05-28 19:59:50,375,EU-CENTRAL
5000402,1009,107,2025-04-10 08:33:36,316,EU-CENTRAL
5000403,1009,103,2025-05-12 15:33:46,319,AP-SOUTH
5000404,1009,108,2025-03-24 19:14:45,418,EU-CENTRAL
5000405,1009,104,2025-03-16 00:29:40,5,US-EAST
5000406,1009,104,2025-05-18 13:26:02,414,EU-CENTRAL
5000407,1009,106,2025-05-21 06:00:40,291,US-WEST
5000408,1009,105,2025-03-09 09:19:32,135,EU-CENTRAL
5000409,1009,101,2025-05-27 10:21:25,63,US-EAST
5000410,1009,103,2025-04-12 10:59:43,104,AP-SOUTH
5000411,1009,108,2025-03-05 20:08:30,413,US-WEST
5000412,1009,108,2025-05-08 10:29:50,461,AP-SOUTH
5000413,1009,101,2025-05-06 09:36:46,432,EU-CENTRAL
5000414,1009,101,2025-05-13 21:21:51,111,EU-CENTRAL
5000415,1009,102,2025-04-05 00:21:24,81,US-WEST
5000416,1009,107,2025-05-16 03:55:50,100,EU-CENTRAL
5000417,1009,106,2025-03-05 08:26:05,368,AP-SOUTH
5000418,1010,106,2025-04-08 06:33:19,236,US-WEST
5000419,1010,102,2025-03-05 06:58:05,196,AP-SOUTH
5000420,1010,101,2025-05-01 16:09:12,414,EU-CENTRAL
5000421,1010,108,2025-05-07 09:49:20,380,US-WEST
5000422,1010,102,2025-05-06 21:08:13,425,US-EAST
5000423,1010,108,2025-05-06 03:00:19,203,US-EAST
5000424,1010,102,2025-04-29 01:06:33,175,EU-CENTRAL
5000425,1010,101,2025-04-09 20:57:13,300,EU-CENTRAL
5000426,1010,104,2025-04-06 08:34:20,103,AP-SOUTH
5000427,1010,102,2025-03-20 05:17:07,144,US-EAST
5000428,1010,102,2025-05-09 11:35:20,110,EU-CENTRAL
5000429,1010,103,2025-05-30 09:36:15,487,US-WEST
5000430,1010,102,2025-05-18 10:34:28,164,US-EAST
5000431,1010,103,2025-04-30 21:03:06,19,AP-SOUTH
5000432,1010,101,2025-04-24 12:11:45,49,AP-SOUTH
5000433,1010,106,2025-04-12 06:45:48,164,US-EAST
5000434,1010,108,2025-03-17 02:52:51,295,AP-SOUTH
5000435,1010,102,2025-04-09 21:41:45,238,AP-SOUTH
5000436,1010,108,2025-03-29 04:55:57,123,EU-CENTRAL
5000437,1010,106,2025-03-24 22:58:42,205,EU-CENTRAL
5000438,1010,106,2025-05-02 00:04:30,237,US-EAST
