order_id,customer_id,channel_id,order_date,order_priority,payment_method,order_total_lines,order_net_revenue
10068,69,3,2025-05-31,1-URGENT,CREDIT_CARD,6,37653.64
10069,70,4,2025-05-14,2-HIGH,CREDIT_CARD,4,28100.93
10070,71,5,2025-05-17,3-NORMAL,CORPORATE_INVOICE,7,22647.95
10071,72,1,2025-01-14,2-HIGH,CREDIT_CARD,3,13717.08
10072,73,2,2025-03-13,2-HIGH,CORPORATE_INVOICE,4,9637.2
10073,74,3,2025-04-03,2-HIGH,CREDIT_CARD,6,22400.34
10074,75,4,2025-01-04,3-NORMAL,WIRE_TRANSFER,5,6448.17
10075,76,5,2025-05-15,4-LOW,CORPORATE_INVOICE,3,10286.6
10076,77,1,2025-06-10,1-URGENT,CORPORATE_INVOICE,6,36081.32
10077,78,2,2025-05-11,2-HIGH,CREDIT_CARD,5,30798.98
10078,79,3,2025-06-20,1-URGENT,CORPORATE_INVOICE,5,30199.13
10079,80,4,2025-06-03,4-LOW,WIRE_TRANSFER,3,11790.3
10080,81,5,2025-03-03,3-NORMAL,CORPORATE_INVOICE,6,20478.87
10081,82,1,2025-03-02,2-HIGH,CREDIT_CARD,4,14317.51
10082,83,2,2025-03-04,4-LOW,WIRE_TRANSFER,4,16363.36
10083,84,3,2025-01-21,3-NORMAL,CORPORATE_INVOICE,6,26426.03
10084,85,4,2025-02-16,4-LOW,CORPORATE_INVOICE,5,9746.5
10085,86,5,2025-02-28,2-HIGH,CORPORATE_INVOICE,6,36217.32
10086,87,1,2025-06-08,2-HIGH,CREDIT_CARD,6,34333.07
10087,88,2,2025-05-13,1-URGENT,CORPORATE_INVOICE,3,12789.39
10088,89,3,2025/04/21,2-HIGH,CORPORATE_INVOICE,3,10585.22
10089,90,4,2025-01-23,2-HIGH,CORPORATE_INVOICE,6,19017.89
10090,91,5,2025/03/04,3-NORMAL,WIRE_TRANSFER,6,27669.28
10091,92,1,2025-06-01,2-HIGH,CREDIT_CARD,5,21236.17
10092,93,2,2025-03-07,3-NORMAL,CREDIT_CARD,6,23356.58
10093,94,3,2025-04-21,3-NORMAL,CREDIT_CARD,5,25397.93
10094,95,4,2025-03-09,4-LOW,WIRE_TRANSFER,5,17976.65
10095,96,5,2025-03-30,4-LOW,CORPORATE_INVOICE,6,28521.81
10096,97,1,2025/03/25,1-URGENT,CREDIT_CARD,7,38729.12
10097,98,2,2025-06-12,1-URGENT,CORPORATE_INVOICE,3,20090.48
10098,99,3,2025-01-24,1-URGENT,WIRE_TRANSFER,5,17532.33
10099,100,4,2025/01/11,2-HIGH,CORPORATE_INVOICE,5,11481.18
10100,101,5,2025-01-21,4-LOW,CREDIT_CARD,4,17283.31
10101,102,1,2025-02-27,1-URGENT,CORPORATE_INVOICE,4,6371.8
10102,103,2,2025-04-12,4-LOW,WIRE_TRANSFER,4,32441.47
10103,104,3,2025-06-01,2-HIGH,CREDIT_CARD,3,5890.82
10104,105,4,2025-02-04,2-HIGH,CORPORATE_INVOICE,7,31182.67
10105,106,5,2025-01-08,3-NORMAL,WIRE_TRANSFER,5,25456.45
10106,107,1,2025-02-14,3-NORMAL,CREDIT_CARD,7,28553.28
10107,108,2,2025-04-25,3-NORMAL,CORPORATE_INVOICE,4,31586.1
10108,109,3,2025-03-08,2-HIGH,WIRE_TRANSFER,5,14440.9
10109,110,4,2025-02-09,4-LOW,WIRE_TRANSFER,4,21311.37
10110,111,5,2025-05-24,1-URGENT,CORPORATE_INVOICE,4,9899.0
10111,112,1,2025-01-17,4-LOW,WIRE_TRANSFER,4,13733.44
10112,113,2,2025-04-18,3-NORMAL,CREDIT_CARD,5,21228.28
10113,114,3,2025-03-29,3-NORMAL,WIRE_TRANSFER,5,16660.75
10114,115,4,2025-03-19,1-URGENT,CORPORATE_INVOICE,7,26409.85
10115,116,5,2025-06-23,2-HIGH,CREDIT_CARD,4,28032.8
10116,117,1,2025-06-15,1-URGENT,CORPORATE_INVOICE,6,29427.21
10117,118,2,2025-01-26,4-LOW,CREDIT_CARD,6,17277.35
10118,119,3,2025-05-07,2-HIGH,CREDIT_CARD,3,15672.0
10119,120,4,2025-05-26,2-HIGH,CREDIT_CARD,7,19211.29
10120,121,5,2025-06-16,3-NORMAL,WIRE_TRANSFER,7,20107.4
10121,122,1,2025-06-01,3-NORMAL,CREDIT_CARD,6,34404.59
10122,123,2,2025-05-25,2-HIGH,CORPORATE_INVOICE,7,26366.03
10123,124,3,2025-03-12,1-URGENT,CORPORATE_INVOICE,5,22954.79
10124,125,4,2025-03-20,1-URGENT,CORPORATE_INVOICE,3,18692.15
10125,126,5,2025-04-13,1-URGENT,WIRE_TRANSFER,4,23710.62
10126,127,1,2025-02-02,3-NORMAL,WIRE_TRANSFER,4,13652.22
10127,128,2,2025-04-13,2-HIGH,CREDIT_CARD,6,32194.65
10128,129,3,2025-01-25,3-NORMAL,CORPORATE_INVOICE,4,14139.01
10129,130,4,2025-02-19,2-HIGH,WIRE_TRANSFER,4,19950.66
10130,131,5,2025-05-06,4-LOW,CORPORATE_INVOICE,4,20834.9
10131,132,1,2025-03-16,3-NORMAL,WIRE_TRANSFER,4,17328.65
10132,133,2,2025-02-15,3-NORMAL,CORPORATE_INVOICE,5,18989.46
10133,134,3,2025/03/06,4-LOW,CREDIT_CARD,4,22925.34
10134,135,4,2025-02-15,1-URGENT,CORPORATE_INVOICE,5,28344.52
10135,136,5,2025-01-26,1-URGENT,WIRE_TRANSFER,7,33688.79
10136,137,1,2025-06-11,4-LOW,CORPORATE_INVOICE,3,11588.25
10137,138,2,2025-02-15,2-HIGH,CORPORATE_INVOICE,5,16582.47
10138,139,3,2025-04-07,3-NORMAL,CORPORATE_INVOICE,5,23267.01
10139,140,4,2025-06-22,1-URGENT,WIRE_TRANSFER,4,4800.16
10140,141,5,2025-03-22,2-HIGH,CREDIT_CARD,6,27453.83
10141,142,1,2025-02-19,2-HIGH,CREDIT_CARD,5,36194.24
10142,143,2,2025-05-22,1-URGENT,WIRE_TRANSFER,3,16235.04
10143,144,3,2025-02-04,4-LOW,WIRE_TRANSFER,3,28992.06
10144,145,4,2025-03-26,2-HIGH,CREDIT_CARD,3,16873.03
10145,146,5,2025-06-18,2-HIGH,CREDIT_CARD,5,12237.79
10146,147,1,2025-01-25,1-URGENT,CREDIT_CARD,5,16253.51
10147,148,2,2025-04-28,3-NORMAL,WIRE_TRANSFER,3,19840.03
10148,149,3,2025-03-17,1-URGENT,CREDIT_CARD,5,30527.37
10149,150,4,2025-03-08,2-HIGH,CREDIT_CARD,7,41795.95
10150,151,5,2025-05-09,1-URGENT,WIRE_TRANSFER,3,19061.81
10151,152,1,2025/06/18,2-HIGH,WIRE_TRANSFER,7,43008.85
10152,153,2,2025-06-04,1-URGENT,CREDIT_CARD,7,28489.97
10153,154,3,2025-03-18,3-NORMAL,CORPORATE_INVOICE,7,28995.23
10154,155,4,2025-01-06,1-URGENT,CORPORATE_INVOICE,4,19196.34
10155,156,5,2025-03-25,1-URGENT,CORPORATE_INVOICE,7,28252.3
10156,157,1,2025-04-20,4-LOW,CREDIT_CARD,7,17326.07
10157,158,2,2025-04-19,3-NORMAL,WIRE_TRANSFER,6,24694.42
10158,159,3,2025-04-12,4-LOW,CORPORATE_INVOICE,3,8210.85
10159,160,4,2025-04-02,3-NORMAL,CORPORATE_INVOICE,4,19826.92
10160,161,5,2025-05-30,1-URGENT,CREDIT_CARD,7,21685.09
10161,162,1,2025-05-08,2-HIGH,CREDIT_CARD,6,15408.44
10162,163,2,2025-03-02,3-NORMAL,CREDIT_CARD,3,6404.94
10163,164,3,2025-04-19,3-NORMAL,CREDIT_CARD,6,28189.53
10164,165,4,2025/02/20,3-NORMAL,CREDIT_CARD,6,34072.4
10165,166,5,2025-06-22,4-LOW,CREDIT_CARD,3,12407.81
10166,167,1,2025-04-17,1-URGENT,WIRE_TRANSFER,4,18992.83
10167,168,2,2025/02/26,3-NORMAL,WIRE_TRANSFER,5,20781.09
10168,169,3,2025-06-07,4-LOW,WIRE_TRANSFER,4,8086.06
10169,170,4,2025-05-04,4-LOW,WIRE_TRANSFER,3,20214.38
10170,171,5,2025-01-03,3-NORMAL,CORPORATE_INVOICE,7,29991.99
10171,172,1,2025-06-27,2-HIGH,WIRE_TRANSFER,5,13146.2
10172,173,2,2025-06-08,1-URGENT,CREDIT_CARD,4,11278.72
10173,174,3,2025-03-15,1-URGENT,CORPORATE_INVOICE,7,36987.93
10174,175,4,2025-06-08,3-NORMAL,WIRE_TRANSFER,5,15295.34
10175,176,5,2025-05-24,1-URGENT,WIRE_TRANSFER,4,16080.44
10176,177,1,2025-05-08,2-HIGH,WIRE_TRANSFER,6,31441.06
10177,178,2,2025-04-15,2-HIGH,WIRE_TRANSFER,7,19539.38
10178,179,3,2025-02-11,4-LOW,WIRE_TRANSFER,4,16313.74
10179,180,4,2025-02-02,4-LOW,CREDIT_CARD,3,21190.42
10180,181,5,2025-01-01,1-URGENT,WIRE_TRANSFER,4,12016.3
10181,182,1,2025-06-16,4-LOW,CORPORATE_INVOICE,7,40335.62
10182,183,2,2025-06-28,3-NORMAL,WIRE_TRANSFER,5,28529.12
10183,184,3,2025-06-29,2-HIGH,CORPORATE_INVOICE,7,29715.19
10184,185,4,2025-06-11,3-NORMAL,WIRE_TRANSFER,7,42070.71
10185,186,5,2025-06-24,2-HIGH,CORPORATE_INVOICE,6,27881.86
10186,187,1,2025-06-19,4-LOW,CORPORATE_INVOICE,5,18132.19
10187,188,2,2025-03-23,3-NORMAL,CORPORATE_INVOICE,6,35073.8
10188,189,3,2025-02-27,1-URGENT,CREDIT_CARD,7,20390.49
10189,190,4,2025-01-24,2-HIGH,WIRE_TRANSFER,4,13827.69
10190,191,5,2025-05-17,2-HIGH,CREDIT_CARD,5,28223.89
10191,192,1,2025-05-19,2-HIGH,CORPORATE_INVOICE,7,28117.24
10192,193,2,2025-02-10,3-NORMAL,WIRE_TRANSFER,3,14178.34
10193,194,3,2025-02-24,2-HIGH,CREDIT_CARD,4,11203.54
10194,195,4,2025-01-05,2-HIGH,CREDIT_CARD,7,35567.07
10195,196,5,2025-06-10,3-NORMAL,CORPORATE_INVOICE,7,36216.61
10196,197,1,2025-04-10,3-NORMAL,CORPORATE_INVOICE,5,13324.43
10197,198,2,2025-06-09,1-URGENT,CREDIT_CARD,3,14502.93
10198,199,3,2025-01-21,2-HIGH,CORPORATE_INVOICE,6,14918.18
10199,200,4,2025-01-14,1-URGENT,WIRE_TRANSFER,5,12955.47
10200,201,5,2025-03-16,2-HIGH,CORPORATE_INVOICE,7,31169.08
10201,202,1,2025-06-07,3-NORMAL,CORPORATE_INVOICE,6,14772.67
10202,203,2,2025-03-10,1-URGENT,WIRE_TRANSFER,4,10410.78
10203,204,3,2025-05-01,2-HIGH,CREDIT_CARD,3,19616.81
10204,205,4,2025/02/04,4-LOW,CREDIT_CARD,3,14608.39
10205,206,5,2025-04-11,4-LOW,WIRE_TRANSFER,3,13780.05
10206,207,1,2025-03-28,1-URGENT,WIRE_TRANSFER,6,35354.14
10207,208,2,2025/01/19,2-HIGH,CREDIT_CARD,6,21582.43
10208,209,3,2025-02-22,1-URGENT,CREDIT_CARD,3,8752.6
10209,210,4,2025-06-10,3-NORMAL,CORPORATE_INVOICE,6,15777.19
10210,211,5,2025-03-23,3-NORMAL,CORPORATE_INVOICE,4,19774.04
10211,212,1,2025/02/12,2-HIGH,CORPORATE_INVOICE,5,25627.63
10212,213,2,2025-04-04,1-URGENT,CREDIT_CARD,3,4490.07
10213,214,3,2025-06-18,2-HIGH,WIRE_TRANSFER,4,7447.51
10214,215,4,2025-02-05,4-LOW,CREDIT_CARD,7,43110.26
10215,216,5,2025-02-11,2-HIGH,WIRE_TRANSFER,4,14575.77
10216,217,1,2025-04-27,1-URGENT,CREDIT_CARD,5,19746.9
10217,218,2,2025-05-27,3-NORMAL,CORPORATE_INVOICE,7,32943.81
10218,219,3,2025/03/04,1-URGENT,WIRE_TRANSFER,4,26928.95
10219,220,4,2025-02-14,4-LOW,CREDIT_CARD,7,21129.89
10220,221,5,2025-01-14,1-URGENT,WIRE_TRANSFER,7,23699.19
10221,222,1,2025/06/01,4-LOW,CREDIT_CARD,4,14122.57
10222,223,2,2025-02-08,3-NORMAL,CREDIT_CARD,6,25186.02
10223,224,3,2025-03-05,1-URGENT,WIRE_TRANSFER,3,8911.6
10224,225,4,2025-06-08,4-LOW,CORPORATE_INVOICE,4,9541.28
10225,226,5,2025-04-27,2-HIGH,CREDIT_CARD,7,16709.41
10226,227,1,2025-05-09,4-LOW,CORPORATE_INVOICE,4,25862.69
10227,228,2,2025-06-08,3-NORMAL,CREDIT_CARD,3,11179.46
10228,229,3,2025-04-09,2-HIGH,WIRE_TRANSFER,4,24437.1
10229,230,4,2025-03-08,1-URGENT,CORPORATE_INVOICE,5,29593.43
10230,231,5,2025-01-07,1-URGENT,WIRE_TRANSFER,5,19047.68
10231,232,1,2025-05-03,2-HIGH,CORPORATE_INVOICE,3,18212.67
10232,233,2,2025-05-06,1-URGENT,CORPORATE_INVOICE,6,25483.51
10233,234,3,2025-05-08,2-HIGH,CREDIT_CARD,6,37059.84
10234,235,4,2025-02-02,4-LOW,CREDIT_CARD,4,19610.15
10235,236,5,2025-02-28,2-HIGH,CREDIT_CARD,7,22570.7
10236,237,1,2025-05-15,2-HIGH,CREDIT_CARD,4,16578.04
10237,238,2,2025-04-22,3-NORMAL,WIRE_TRANSFER,6,12758.2
10238,239,3,2025-03-06,2-HIGH,CREDIT_CARD,4,22331.49
10239,240,4,2025-05-16,2-HIGH,WIRE_TRANSFER,5,35508.86
10240,241,5,2025-05-17,4-LOW,CREDIT_CARD,7,32259.61
10241,242,1,2025-01-09,1-URGENT,WIRE_TRANSFER,5,15535.75
10242,243,2,2025-06-13,4-LOW,CORPORATE_INVOICE,6,13993.4
10243,244,3,2025-05-30,2-HIGH,CORPORATE_INVOICE,7,22095.25
10244,245,4,2025/04/23,3-NORMAL,CREDIT_CARD,5,19867.98
10245,246,5,2025-04-08,1-URGENT,CORPORATE_INVOICE,7,26159.0
10246,247,1,2025-05-29,1-URGENT,CORPORATE_INVOICE,5,14973.09
10247,248,2,2025-06-19,2-HIGH,WIRE_TRANSFER,5,29838.58
10248,249,3,2025-04-23,4-LOW,WIRE_TRANSFER,5,27365.34
10249,250,4,2025-01-31,2-HIGH,WIRE_TRANSFER,6,25155.61
10250,251,5,2025-03-11,1-URGENT,CREDIT_CARD,4,10294.29
10251,252,1,2025-03-21,1-URGENT,CREDIT_CARD,5,17063.44
10252,253,2,2025-06-02,2-HIGH,CREDIT_CARD,6,19074.04
10253,254,3,2025-06-29,2-HIGH,CORPORATE_INVOICE,3,11938.07
10254,255,4,2025-05-25,2-HIGH,CORPORATE_INVOICE,6,28013.54
10255,256,5,2025/05/03,1-URGENT,CORPORATE_INVOICE,3,16470.92
10256,257,1,2025/06/26,2-HIGH,WIRE_TRANSFER,7,43304.09
10257,258,2,2025-04-27,3-NORMAL,CREDIT_CARD,7,17941.56
10258,259,3,2025-05-07,2-HIGH,WIRE_TRANSFER,3,10231.65
10259,260,4,2025-01-21,4-LOW,WIRE_TRANSFER,7,41452.24
10260,261,5,2025/02/13,2-HIGH,CREDIT_CARD,6,38576.05
10261,262,1,2025-04-28,4-LOW,CREDIT_CARD,5,26923.41
10262,263,2,2025-02-15,4-LOW,WIRE_TRANSFER,3,12314.97
10263,264,3,2025-01-07,1-URGENT,CREDIT_CARD,7,25656.2
10264,265,4,2025-02-02,1-URGENT,CORPORATE_INVOICE,5,28767.39
10265,266,5,2025-04-16,2-HIGH,WIRE_TRANSFER,7,19334.79
10266,267,1,2025-03-24,3-NORMAL,WIRE_TRANSFER,6,16791.56
10267,268,2,2025-01-04,4-LOW,WIRE_TRANSFER,3,8497.26
10268,269,3,2025-05-09,4-LOW,WIRE_TRANSFER,7,33544.27
10269,270,4,2025-03-08,4-LOW,CREDIT_CARD,3,7532.61
10270,271,5,2025-05-27,4-LOW,CREDIT_CARD,3,10002.67
10271,272,1,2025-03-18,4-LOW,CREDIT_CARD,5,12146.66
10272,273,2,2025-06-26,1-URGENT,CREDIT_CARD,6,24348.06
10273,274,3,2025/03/23,3-NORMAL,CREDIT_CARD,3,3561.61
10274,275,4,2025-04-06,3-NORMAL,WIRE_TRANSFER,4,10851.67
10275,276,5,2025-02-13,3-NORMAL,WIRE_TRANSFER,3,16148.07
10276,277,1,2025-05-12,3-NORMAL,CREDIT_CARD,4,17479.79
10277,278,2,2025-04-13,2-HIGH,CORPORATE_INVOICE,3,9134.77
10278,279,3,2025-05-20,2-HIGH,CORPORATE_INVOICE,7,16398.21
10279,280,4,2025-06-03,3-NORMAL,CORPORATE_INVOICE,7,29825.12
10280,281,5,2025-01-11,2-HIGH,CORPORATE_INVOICE,7,38903.57
10281,282,1,2025-05-26,2-HIGH,CREDIT_CARD,7,28201.95
10282,283,2,2025-02-19,1-URGENT,WIRE_TRANSFER,5,27607.99
10283,284,3,2025-03-10,1-URGENT,CREDIT_CARD,6,21488.18
10284,285,4,2025-01-24,3-NORMAL,WIRE_TRANSFER,5,9562.02
10285,286,5,2025-04-29,1-URGENT,CREDIT_CARD,5,17092.29
10286,287,1,2025-06-07,2-HIGH,CREDIT_CARD,6,28690.13
10287,288,2,2025-04-17,1-URGENT,CREDIT_CARD,5,20472.44
10288,289,3,2025-05-24,4-LOW,WIRE_TRANSFER,6,36434.74
10289,290,4,2025-06-16,1-URGENT,WIRE_TRANSFER,4,20078.97
10290,291,5,2025-03-20,4-LOW,WIRE_TRANSFER,5,23052.64
10291,292,1,2025-04-28,4-LOW,CORPORATE_INVOICE,6,30886.16
10292,293,2,2025-06-12,1-URGENT,CORPORATE_INVOICE,5,16189.49
10293,294,3,2025-02-19,2-HIGH,CREDIT_CARD,6,24328.14
10294,295,4,2025-01-07,3-NORMAL,CORPORATE_INVOICE,4,12443.9
10295,296,5,2025-04-13,3-NORMAL,CORPORATE_INVOICE,7,40906.64
10296,297,1,2025-01-01,4-LOW,CREDIT_CARD,3,14440.34
10297,298,2,2025-02-14,2-HIGH,WIRE_TRANSFER,5,28536.09
10298,299,3,2025-03-16,3-NORMAL,WIRE_TRANSFER,4,15039.02
10299,300,4,2025/03/09,4-LOW,CORPORATE_INVOICE,7,26140.61
10300,301,5,2025-04-17,1-URGENT,WIRE_TRANSFER,7,23499.07
10301,302,1,2025-04-09,2-HIGH,CREDIT_CARD,4,5683.25
10302,303,2,2025-06-19,4-LOW,CREDIT_CARD,7,17943.43
10303,304,3,2025/04/01,1-URGENT,CREDIT_CARD,6,27178.36
10304,305,4,2025-05-09,2-HIGH,CORPORATE_INVOICE,4,13295.05
10305,306,5,2025-02-15,4-LOW,CORPORATE_INVOICE,3,18298.73
10306,307,1,2025-02-04,4-LOW,CORPORATE_INVOICE,5,27011.43
10307,308,2,2025-06-21,1-URGENT,WIRE_TRANSFER,5,9792.54
10308,309,3,2025-03-01,2-HIGH,WIRE_TRANSFER,3,13212.94
10309,310,4,2025-04-05,4-LOW,CREDIT_CARD,6,21852.39
10310,311,5,2025-03-18,3-NORMAL,CREDIT_CARD,6,27347.49
10311,312,1,2025-05-05,2-HIGH,CREDIT_CARD,5,16748.79
10312,313,2,2025-05-01,2-HIGH,WIRE_TRANSFER,5,19129.41
10313,314,3,2025-02-17,2-HIGH,WIRE_TRANSFER,5,21105.01
10314,315,4,2025-03-28,3-NORMAL,CORPORATE_INVOICE,3,6536.28
10315,316,5,2025/02/21,4-LOW,CORPORATE_INVOICE,7,23769.88
10316,317,1,2025-04-12,4-LOW,WIRE_TRANSFER,3,10573.25
10317,318,2,2025-01-31,1-URGENT,CREDIT_CARD,4,17442.59
10318,319,3,2025-06-26,3-NORMAL,CREDIT_CARD,4,17135.41
10319,320,4,2025/06/16,1-URGENT,CREDIT_CARD,4,16531.59
10320,321,5,2025-01-27,1-URGENT,CORPORATE_INVOICE,4,28532.72
10321,322,1,2025-02-13,4-LOW,CREDIT_CARD,3,13946.38
10322,323,2,2025-01-09,4-LOW,CORPORATE_INVOICE,7,31548.74
10323,324,3,2025-01-18,2-HIGH,CORPORATE_INVOICE,5,15645.88
10324,325,4,2025-01-20,4-LOW,WIRE_TRANSFER,5,23748.04
10325,326,5,2025-02-11,4-LOW,WIRE_TRANSFER,3,21685.02
10326,327,1,2025-03-24,3-NORMAL,CORPORATE_INVOICE,4,15366.7
10327,328,2,2025-03-20,4-LOW,CORPORATE_INVOICE,7,22515.13
10328,329,3,2025-05-04,4-LOW,CREDIT_CARD,5,24423.79
10329,330,4,2025-06-21,4-LOW,CORPORATE_INVOICE,6,18070.63
10330,331,5,2025/02/10,1-URGENT,CORPORATE_INVOICE,7,27546.45
10331,332,1,2025-04-13,2-HIGH,CORPORATE_INVOICE,5,19055.58
10332,333,2,2025-01-06,3-NORMAL,WIRE_TRANSFER,3,10237.33
10333,334,3,2025-05-23,2-HIGH,CREDIT_CARD,7,55722.41
10334,335,4,2025-04-21,4-LOW,CREDIT_CARD,7,27051.06
10335,336,5,2025-04-19,1-URGENT,WIRE_TRANSFER,3,14247.57
10336,337,1,2025-04-07,4-LOW,CREDIT_CARD,4,9725.88
10337,338,2,2025-04-02,2-HIGH,WIRE_TRANSFER,6,18930.15
10338,339,3,2025-02-18,1-URGENT,WIRE_TRANSFER,7,44492.31
10339,340,4,2025-06-05,1-URGENT,CREDIT_CARD,7,34530.41
10340,341,5,2025-02-10,1-URGENT,CORPORATE_INVOICE,6,15233.31
10341,342,1,2025-04-21,3-NORMAL,CREDIT_CARD,3,25429.84
10342,343,2,2025-02-18,2-HIGH,WIRE_TRANSFER,3,7267.63
10343,344,3,2025-02-21,4-LOW,CREDIT_CARD,4,9948.12
10344,345,4,2025-06-30,4-LOW,CREDIT_CARD,4,16052.65
10345,346,5,2025-05-09,4-LOW,CORPORATE_INVOICE,4,21199.25
10346,347,1,2025-06-06,1-URGENT,CORPORATE_INVOICE,3,6300.82
10347,348,2,2025-03-22,3-NORMAL,CREDIT_CARD,7,49198.8
10348,349,3,2025-05-13,4-LOW,CREDIT_CARD,4,12827.68
10349,350,4,2025-04-17,2-HIGH,CREDIT_CARD,4,7502.54
10350,351,5,2025-04-05,4-LOW,CORPORATE_INVOICE,7,33557.2
10351,352,1,2025-06-04,2-HIGH,CORPORATE_INVOICE,3,14711.69
