lineitem_id,order_id,line_number,product_id,quantity,unit_price,discount_pct,tax_rate,ship_date,promised_date,delivery_date,return_flag,fulfillment_status
33,10006,5,160,1,108.36,0.0,0.08,2025-04-17,2025-04-20,2025-04-19,N,DELIVERED
34,10006,6,187,2,699.57,0.0,0.08,2025-04-15,2025-04-20,2025-04-16,N,DELIVERED
35,10007,1,25,11,1369.23,0.25,0.08,2025-05-04,2025-05-03,2025-05-08,N,DELIVERED
36,10007,2,144,2,880.35,0.25,0.08,2025-04-28,2025-05-03,2025-04-29,N,DELIVERED
37,10007,3,6,6,1225.54,0.25,0.08,2025-05-01,2025-05-03,2025-05-03,N,DELIVERED
38,10007,4,204,1,1161.23,0.2,0.08,2025-05-02,2025-05-03,2025-05-04,N,DELIVERED
39,10007,5,219,9,716.3,0.05,0.08,2025-04-27,2025-05-03,2025-05-01,N,DELIVERED
40,10008,1,196,7,1103.49,0.25,0.08,2025-01-28,2025-01-29,2025-01-29,N,DELIVERED
41,10008,2,228,10,763.79,0.05,0.08,2025-01-31,2025-01-29,2025-02-02,N,DELIVERED
42,10008,3,131,3,1192.15,0.05,0.08,2025-01-27,2025-01-29,2025-01-29,N,DELIVERED
43,10008,4,154,12,1115.8,0.05,0.08,2025-01-28,2025-01-29,2025-01-30,N,DELIVERED
44,10008,5,38,7,535.76,0.0,0.08,2025-01-23,2025-01-29,2025-01-25,N,DELIVERED
45,10008,6,184,3,532.55,0.1,0.08,2025-01-23,2025-01-29,2025-01-27,N,DELIVERED
46,10008,7,81,5,744.07,0.2,0.08,2025-01-28,2025-01-29,2025-01-29,N,DELIVERED
47,10009,1,196,10,1103.49,0.1,0.08,2025-06-06,2025-06-11,2025-06-07,N,DELIVERED
48,10009,2,128,11,264.92,0.15,0.08,2025-06-14,2025-06-11,2025-06-15,N,DELIVERED
49,10009,3,149,9,379.55,0.2,0.08,2025-06-09,2025-06-11,2025-06-12,N,DELIVERED
50,10009,4,198,8,1005.54,0.15,0.08,2025-06-12,2025-06-11,2025-06-13,N,DELIVERED
51,10009,5,215,8,1340.93,0.25,0.08,2025-06-08,2025-06-11,2025-06-10,N,DELIVERED
52,10009,6,122,11,847.98,0.25,0.08,2025-06-08,2025-06-11,2025-06-12,N,DELIVERED
53,10010,1,137,1,812.7,0.05,0.08,2025-03-17,2025-03-17,2025-03-18,N,DELIVERED
54,10010,2,222,12,77.24,0.15,0.08,2025-03-20,2025-03-17,,N,CANCELLED
55,10010,3,215,5,1340.93,0.1,0.08,2025-03-18,2025-03-17,2025-03-22,N,DELIVERED
56,10010,4,140,11,673.84,0.05,0.08,2025-03-16,2025-03-17,2025-03-18,N,DELIVERED
57,10011,1,59,12,916.49,0.05,0.08,2025-01-30,2025-02-01,2025-01-31,N,DELIVERED
58,10011,2,118,3,903.69,0.05,0.08,2025-02-03,2025-02-01,2025-02-06,N,DELIVERED
59,10011,3,195,5,916.87,0.1,0.08,2025-01-27,2025-02-01,2025-01-31,N,DELIVERED
60,10011,4,92,3,1013.18,0.2,0.08,2025-01-27,2025-02-01,2025-01-29,N,DELIVERED
61,10011,5,70,11,567.86,0.25,0.08,2025-01-30,2025-02-01,2025-01-31,N,DELIVERED
62,10012,1,76,6,331.15,0.1,0.08,2025-01-17,2025-01-22,2025-01-21,N,DELIVERED
63,10012,2,32,11,760.15,0.15,0.08,2025-01-17,2025-01-22,2025-01-18,N,DELIVERED
64,10012,3,125,7,966.69,0.2,0.08,2025-01-19,2025-01-22,2025-01-20,N,DELIVERED
65,10012,4,169,11,796.49,0.0,0.08,2025-01-23,2025-01-22,2025-01-26,N,DELIVERED
66,10012,5,47,4,672.92,0.25,0.08,2025-01-16,2025-01-22,2025-01-19,N,DELIVERED
67,10012,6,29,12,1090.04,0.05,0.08,2025-01-18,2025-01-22,2025-01-22,N,DELIVERED
68,10012,7,181,1,558.85,0.1,0.08,2025-01-21,2025-01-22,2025-01-24,N,DELIVERED
69,10013,1,119,4,1152.29,0.0,0.08,2025-04-13,2025-04-12,2025-04-17,N,DELIVERED
70,10013,2,146,6,1409.87,0.1,0.08,2025-04-15,2025-04-12,2025-04-19,N,DELIVERED
71,10013,3,193,3,296.39,0.0,0.08,2025-04-14,2025-04-12,2025-04-15,N,DELIVERED
72,10013,4,217,7,674.96,0.15,0.08,2025-04-15,2025-04-12,2025-04-17,N,DELIVERED
73,10013,5,212,10,1271.93,0.15,0.08,2025-04-09,2025-04-12,2025-04-13,N,DELIVERED
74,10014,1,69,2,193.61,0.15,0.08,2025-05-12,2025-05-11,2025-05-16,N,DELIVERED
75,10014,2,159,3,876.26,0.2,0.08,2025-05-08,2025-05-11,2025-05-09,N,DELIVERED
76,10014,3,40,7,139.77,0.15,0.08,2025-05-08,2025-05-11,2025-05-10,N,DELIVERED
77,10015,1,229,10,641.0,0.1,0.08,2025-01-08,2025-01-09,2025-01-09,N,DELIVERED
78,10015,2,133,12,775.86,0.0,0.08,2025-01-08,2025-01-09,2025-01-10,N,DELIVERED
79,10015,3,107,8,698.48,0.2,0.08,2025-01-04,2025-01-09,2025-01-05,N,DELIVERED
80,10015,4,105,2,185.2,0.2,0.08,2025-01-08,2025-01-09,2025-01-11,N,DELIVERED
81,10015,5,95,11,310.62,0.05,0.08,2025-01-09,2025-01-09,2025-01-13,N,DELIVERED
82,10016,1,53,9,875.98,0.2,0.08,2025-04-18,2025-04-18,2025-04-21,Y,RETURNED
83,10016,2,227,7,385.06,0.25,0.08,2025-04-19,2025-04-18,2025-04-22,N,DELIVERED
84,10016,3,72,1,808.22,0.0,0.08,2025-04-16,2025-04-18,2025-04-20,N,DELIVERED
85,10016,4,111,10,882.83,0.1,0.08,2025-04-13,2025-04-18,2025-04-17,N,DELIVERED
86,10016,5,24,12,432.45,0.0,0.08,2025-04-21,2025-04-18,2025-04-23,N,DELIVERED
87,10016,6,213,7,1122.93,0.1,0.08,2025-04-14,2025-04-18,2025-04-18,N,DELIVERED
88,10016,7,234,11,1258.81,0.2,0.08,2025-04-19,2025-04-18,2025-04-21,Y,RETURNED
89,10017,1,173,1,377.5,0.15,0.08,2025-07-08,2025-07-06,2025-07-10,N,DELIVERED
90,10017,2,10,9,926.41,0.25,0.08,2025-07-04,2025-07-06,2025-07-08,N,DELIVERED
91,10017,3,106,11,883.65,0.25,0.08,2025-07-06,2025-07-06,2025-07-10,N,DELIVERED
92,10017,4,169,6,796.49,0.2,0.08,2025-07-04,2025-07-06,2025-07-07,N,DELIVERED
93,10017,5,6,5,1225.54,0.05,0.08,2025-07-02,2025-07-06,2025-07-06,N,DELIVERED
94,10017,6,146,8,1409.87,0.15,0.08,2025-07-08,2025-07-06,2025-07-10,N,DELIVERED
95,10017,7,193,4,296.39,0.05,0.08,2025-07-01,2025-07-06,2025-07-05,N,DELIVERED
96,10018,1,174,11,1001.76,0.2,0.08,2025-04-13,2025-04-13,2025-04-16,N,DELIVERED
97,10018,2,98,7,282.64,0.0,0.08,2025-04-15,2025-04-13,2025-04-16,N,DELIVERED
98,10018,3,243,6,1397.56,0.05,0.08,2025-04-11,2025-04-13,2025-04-15,N,DELIVERED
99,10018,4,166,12,296.7,0.2,0.08,2025-04-12,2025-04-13,2025-04-13,N,DELIVERED
100,10018,5,82,3,941.54,0.05,0.08,2025-04-11,2025-04-13,2025-04-13,N,DELIVERED
101,10019,1,210,4,485.08,0.0,0.08,2025-01-19,2025-01-19,2025-01-21,N,DELIVERED
102,10019,2,95,5,310.62,0.2,0.08,2025-01-17,2025-01-19,2025-01-21,N,DELIVERED
103,10019,3,188,9,227.52,0.1,0.08,2025-01-13,2025-01-19,2025-01-17,N,DELIVERED
104,10019,4,45,9,642.73,0.25,0.08,2025-01-19,2025-01-19,2025-01-23,N,DELIVERED
105,10019,5,200,12,794.6,0.25,0.08,2025-01-21,2025-01-19,2025-01-22,N,DELIVERED
106,10019,6,2,10,557.78,0.15,0.08,2025-01-16,2025-01-19,2025-01-20,N,DELIVERED
107,10020,1,113,8,467.91,0.1,0.08,2025-03-13,2025-03-15,2025-03-15,N,DELIVERED
108,10020,2,132,12,147.67,0.1,0.08,2025-03-10,2025-03-15,2025-03-12,N,DELIVERED
109,10020,3,210,6,485.08,0.05,0.08,2025-03-10,2025-03-15,2025-03-14,N,DELIVERED
110,10020,4,214,10,116.84,0.05,0.08,2025-03-15,2025-03-15,2025-03-16,N,DELIVERED
111,10020,5,208,10,1299.52,0.25,0.08,2025-03-14,2025-03-15,2025-03-17,N,DELIVERED
112,10020,6,177,2,538.23,0.0,0.08,2025-03-12,2025-03-15,2025-03-16,N,DELIVERED
113,10020,7,211,11,1446.69,0.15,0.08,2025-03-16,2025-03-15,2025-03-17,N,DELIVERED
114,10021,1,185,5,1091.36,0.1,0.08,2025-03-08,2025-03-05,2025-03-12,N,DELIVERED
115,10021,2,200,12,794.6,0.05,0.08,2025-02-27,2025-03-05,2025-03-02,N,DELIVERED
116,10021,3,134,9,534.15,0.2,0.08,2025-03-02,2025-03-05,2025-03-04,N,DELIVERED
117,10021,4,184,7,532.55,0.1,0.08,2025-03-04,2025-03-05,2025-03-07,N,DELIVERED
118,10021,5,148,1,101.04,0.05,0.08,2025-03-08,2025-03-05,2025-03-12,N,DELIVERED
119,10021,6,229,5,641.0,0.2,0.08,2025-03-08,2025-03-05,2025-03-10,N,DELIVERED
120,10021,7,33,4,920.2,0.1,0.08,2025-03-06,2025-03-05,2025-03-08,N,DELIVERED
121,10022,1,244,6,570.09,0.15,0.08,2025-05-16,2025-05-13,2025-05-18,N,DELIVERED
122,10022,2,218,12,396.92,0.05,0.08,2025-05-15,2025-05-13,2025-05-16,N,DELIVERED
123,10022,3,13,1,1178.05,0.1,0.08,2025-05-07,2025-05-13,2025-05-10,N,DELIVERED
124,10022,4,96,9,1291.47,0.15,0.08,2025-05-12,2025-05-13,2025-05-15,N,DELIVERED
125,10022,5,162,8,494.26,0.2,0.08,2025-05-15,2025-05-13,2025-05-18,N,DELIVERED
126,10023,1,224,7,401.92,0.1,0.08,2025-05-14,2025-05-17,2025-05-16,N,DELIVERED
127,10023,2,246,10,338.1,0.05,0.08,2025-05-17,2025-05-17,2025-05-20,N,DELIVERED
128,10023,3,124,7,1374.15,0.1,0.08,2025-05-11,2025-05-17,2025-05-12,N,DELIVERED
129,10023,4,171,10,735.45,0.1,0.08,2025-05-15,2025-05-17,2025-05-19,N,DELIVERED
130,10024,1,169,1,796.49,0.15,0.08,2025-06-29,2025-07-03,2025-07-03,N,DELIVERED
131,10024,2,102,6,397.78,0.15,0.08,2025-07-05,2025-07-03,2025-07-08,N,DELIVERED
132,10024,3,197,6,948.45,0.1,0.08,2025-06-29,2025-07-03,2025-07-02,N,DELIVERED
133,10024,4,54,2,296.08,0.25,0.08,2025-07-06,2025-07-03,2025-07-09,N,DELIVERED
134,10024,5,207,8,884.15,0.05,0.08,2025-06-27,2025-07-03,2025-06-28,N,DELIVERED
135,10025,1,221,6,361.11,0.15,0.08,2025-04-23,2025-04-20,2025-04-25,N,DELIVERED
136,10025,2,16,8,1086.14,0.2,0.08,2025-04-18,2025-04-20,2025-04-20,N,DELIVERED
137,10025,3,49,5,449.29,0.0,0.08,2025-04-19,2025-04-20,2025-04-20,N,DELIVERED
138,10025,4,92,11,1013.18,0.05,0.08,2025-04-23,2025-04-20,2025-04-27,N,DELIVERED
139,10026,1,52,8,317.1,0.0,0.08,2025-04-16,2025-04-20,2025-04-20,N,DELIVERED
140,10026,2,132,4,147.67,0.05,0.08,2025-04-14,2025-04-20,2025-04-18,N,DELIVERED
141,10026,3,229,11,641.0,0.1,0.08,2025-04-14,2025-04-20,2025-04-16,N,DELIVERED
142,10027,1,35,3,740.31,0.15,0.08,2025-05-26,2025-05-24,2025-05-29,N,DELIVERED
143,10027,2,65,11,614.66,0.25,0.08,2025-05-24,2025-05-24,2025-05-25,N,DELIVERED
144,10027,3,18,11,286.13,0.2,0.08,2025-05-19,2025-05-24,2025-05-21,N,DELIVERED
145,10027,4,229,3,641.0,0.05,0.08,2025-05-18,2025-05-24,2025-05-19,N,DELIVERED
146,10028,1,95,6,310.62,0.15,0.08,2025-01-18,2025-01-24,2025-01-21,N,DELIVERED
147,10028,2,207,7,884.15,0.05,0.08,2025-01-18,2025-01-24,2025-01-19,N,DELIVERED
148,10028,3,207,6,884.15,0.1,0.08,2025-01-24,2025-01-24,2025-01-27,Y,RETURNED
149,10028,4,15,11,1033.03,0.05,0.08,2025-01-21,2025-01-24,2025-01-25,Y,RETURNED
150,10029,1,63,3,1203.63,0.2,0.08,2025-01-27,2025-01-29,2025-01-31,N,DELIVERED
151,10029,2,243,9,1397.56,0.25,0.08,2025-01-23,2025-01-29,2025-01-27,N,DELIVERED
152,10029,3,147,11,1147.88,0.1,0.08,2025-01-29,2025-01-29,2025-01-30,N,DELIVERED
153,10029,4,140,6,673.84,0.1,0.08,2025-01-30,2025-01-29,2025-02-03,N,DELIVERED
154,10030,1,198,5,1005.54,0.25,0.08,2025-05-15,2025-05-14,2025-05-19,N,DELIVERED
155,10030,2,126,1,369.54,0.25,0.08,2025-05-13,2025-05-14,2025-05-15,N,DELIVERED
156,10030,3,120,11,846.54,0.0,0.08,2025-05-17,2025-05-14,2025-05-19,N,DELIVERED
157,10030,4,218,6,396.92,0.05,0.08,2025-05-09,2025-05-14,2025-05-12,N,DELIVERED
158,10030,5,52,8,317.1,0.0,0.08,2025-05-11,2025-05-14,2025-05-12,N,DELIVERED
159,10030,6,234,3,1258.81,0.15,0.08,2025-05-16,2025-05-14,2025-05-19,N,DELIVERED
160,10030,7,124,8,1374.15,0.15,0.08,2025-05-12,2025-05-14,2025-05-16,N,DELIVERED
161,10031,1,148,8,101.04,0.25,0.08,2025-05-25,2025-05-30,2025-05-29,N,DELIVERED
162,10031,2,42,12,1019.5,0.15,0.08,2025-05-24,2025-05-30,2025-05-26,N,DELIVERED
163,10031,3,135,7,781.15,0.05,0.08,2025-05-25,2025-05-30,2025-05-26,N,DELIVERED
164,10031,4,194,2,606.0,0.05,0.08,2025-05-29,2025-05-30,2025-06-02,N,DELIVERED
165,10032,1,102,10,397.78,0.05,0.08,2025-04-02,2025-03-30,2025-04-05,N,DELIVERED
166,10032,2,135,4,781.15,0.05,0.08,2025-04-02,2025-03-30,2025-04-06,N,DELIVERED
167,10032,3,27,1,840.5,0.2,0.08,2025-03-29,2025-03-30,2025-03-31,N,DELIVERED
168,10033,1,120,7,846.54,0.2,0.08,2025-02-17,2025-02-17,2025-02-21,N,DELIVERED
169,10033,2,70,4,567.86,0.0,0.08,2025-02-15,2025-02-17,2025-02-18,N,DELIVERED
170,10033,3,32,10,760.15,0.05,0.08,2025-02-15,2025-02-17,2025-02-16,N,DELIVERED
171,10033,4,76,6,331.15,0.15,0.08,2025-02-14,2025-02-17,2025-02-15,N,DELIVERED
172,10033,5,64,2,339.9,0.05,0.08,2025-02-19,2025-02-17,2025-02-21,N,DELIVERED
173,10034,1,156,10,1262.11,0.2,0.08,2025-07-08,2025-07-05,2025-07-09,N,DELIVERED
174,10034,2,226,10,114.99,0.2,0.08,2025-06-30,2025-07-05,2025-07-01,Y,RETURNED
175,10034,3,67,3,1221.22,0.1,0.08,2025-07-08,2025-07-05,2025-07-12,N,DELIVERED
176,10034,4,121,2,295.46,0.1,0.08,2025-07-03,2025-07-05,2025-07-06,N,DELIVERED
177,10034,5,237,5,437.7,0.0,0.08,2025-06-30,2025-07-05,2025-07-01,N,DELIVERED
178,10034,6,8,10,234.07,0.2,0.08,2025-06-30,2025-07-05,2025-07-02,N,DELIVERED
179,10035,1,76,8,331.15,0.05,0.08,2025-03-17,2025-03-19,2025-03-20,N,DELIVERED
180,10035,2,240,10,776.55,0.2,0.08,2025-03-18,2025-03-19,2025-03-21,N,DELIVERED
181,10035,3,243,6,1397.56,0.2,0.08,2025-03-22,2025-03-19,2025-03-24,N,DELIVERED
182,10035,4,116,11,1001.49,0.05,0.08,2025-03-21,2025-03-19,2025-03-22,N,DELIVERED
183,10035,5,184,8,532.55,0.1,0.08,2025-03-21,2025-03-19,2025-03-22,N,DELIVERED
184,10035,6,143,11,1390.71,0.25,0.08,2025-03-15,2025-03-19,2025-03-18,N,DELIVERED
185,10035,7,106,8,883.65,0.0,0.08,2025-03-21,2025-03-19,2025-03-22,N,DELIVERED
186,10036,1,158,4,377.71,0.0,0.08,2025-06-09,2025-06-13,2025-06-10,N,DELIVERED
187,10036,2,6,6,1225.54,0.05,0.08,2025-06-13,2025-06-13,2025-06-17,Y,RETURNED
188,10036,3,217,2,674.96,0.2,0.08,2025-06-10,2025-06-13,2025-06-14,N,DELIVERED
189,10036,4,94,4,956.66,0.15,0.08,2025-06-16,2025-06-13,2025-06-19,N,DELIVERED
190,10037,1,64,9,339.9,0.15,0.08,2025-04-16,2025-04-22,2025-04-18,N,DELIVERED
191,10037,2,141,7,129.12,0.25,0.08,2025-04-25,2025-04-22,2025-04-26,N,DELIVERED
192,10037,3,175,12,790.19,0.05,0.08,2025-04-16,2025-04-22,2025-04-19,N,DELIVERED
193,10038,1,45,10,642.73,0.0,0.08,2025-02-01,2025-02-07,2025-02-05,N,DELIVERED
194,10038,2,126,9,369.54,0.15,0.08,2025-02-04,2025-02-07,2025-02-07,N,DELIVERED
195,10038,3,239,11,453.59,0.25,0.08,2025-02-05,2025-02-07,2025-02-06,N,DELIVERED
196,10038,4,221,9,361.11,0.25,0.08,2025-02-04,2025-02-07,2025-02-08,N,DELIVERED
197,10038,5,4,7,617.45,0.2,0.08,2025-02-01,2025-02-07,2025-02-02,N,DELIVERED
198,10038,6,133,8,775.86,0.2,0.08,2025-02-03,2025-02-07,2025-02-05,N,DELIVERED
199,10038,7,93,3,101.87,0.0,0.08,2025-02-02,2025-02-07,2025-02-06,N,DELIVERED
200,10039,1,173,4,377.5,0.1,0.08,2025-05-25,2025-05-28,2025-05-29,N,DELIVERED
201,10039,2,230,8,111.72,0.15,0.08,2025-05-27,2025-05-28,2025-05-31,N,DELIVERED
202,10039,3,94,3,956.66,0.05,0.08,2025-05-28,2025-05-28,2025-06-01,N,DELIVERED
203,10039,4,182,6,85.89,0.1,0.08,2025-05-23,2025-05-28,2025-05-24,N,DELIVERED
204,10040,1,197,1,948.45,0.15,0.08,2025-02-23,2025-02-28,2025-02-24,N,DELIVERED
205,10040,2,169,5,796.49,0.25,0.08,2025-02-26,2025-02-28,2025-02-28,N,DELIVERED
206,10040,3,158,3,377.71,0.25,0.08,2025-02-23,2025-02-28,2025-02-24,N,DELIVERED
207,10040,4,184,9,532.55,0.25,0.08,2025-03-01,2025-02-28,2025-03-02,N,DELIVERED
208,10040,5,115,1,439.25,0.15,0.08,2025-03-02,2025-02-28,2025-03-04,N,DELIVERED
209,10040,6,104,1,616.21,0.05,0.08,2025-02-23,2025-02-28,2025-02-24,N,DELIVERED
210,10041,1,240,8,776.55,0.0,0.08,2025-04-29,2025-04-26,2025-05-01,N,DELIVERED
211,10041,2,234,1,1258.81,0.2,0.08,2025-04-28,2025-04-26,2025-04-30,N,DELIVERED
212,10041,3,178,9,1247.58,0.15,0.08,2025-04-21,2025-04-26,2025-04-23,Y,RETURNED
213,10041,4,236,2,739.59,0.05,0.08,2025-04-25,2025-04-26,2025-04-26,Y,RETURNED
214,10041,5,173,6,377.5,0.2,0.08,2025-04-27,2025-04-26,2025-04-30,N,DELIVERED
215,10041,6,5,10,1183.49,0.2,0.08,2025-04-29,2025-04-26,2025-04-30,N,DELIVERED
216,10041,7,120,11,846.54,0.05,0.08,2025-04-24,2025-04-26,2025-04-28,N,DELIVERED
217,10042,1,110,6,686.76,0.15,0.08,2025-01-19,2025-01-25,2025-01-22,N,DELIVERED
218,10042,2,9,6,506.03,0.05,0.08,2025-01-27,2025-01-25,2025-01-31,N,DELIVERED
219,10042,3,163,7,988.54,0.05,0.08,2025-01-21,2025-01-25,2025-01-22,N,DELIVERED
220,10042,4,161,3,360.09,0.05,0.08,2025-01-23,2025-01-25,2025-01-25,N,DELIVERED
221,10043,1,237,4,437.7,0.0,0.08,2025-04-28,2025-04-27,2025-05-01,N,DELIVERED
222,10043,2,178,7,1247.58,0.25,0.08,2025-04-23,2025-04-27,2025-04-24,N,DELIVERED
223,10043,3,185,9,1091.36,0.0,0.08,2025-04-25,2025-04-27,2025-04-28,N,DELIVERED
224,10044,1,127,12,160.43,0.15,0.08,2025-04-09,2025-04-09,2025-04-10,N,DELIVERED
225,10044,2,39,7,743.8,0.05,0.08,2025-04-03,2025-04-09,2025-04-06,N,DELIVERED
226,10044,3,114,11,89.96,0.2,0.08,2025-04-10,2025-04-09,2025-04-14,N,DELIVERED
227,10044,4,218,11,396.92,0.05,0.08,2025-04-05,2025-04-09,2025-04-09,N,DELIVERED
228,10045,1,135,4,781.15,0.1,0.08,2025-04-16,2025-04-20,2025-04-20,N,DELIVERED
229,10045,2,79,5,717.39,0.25,0.08,2025-04-19,2025-04-20,2025-04-21,N,DELIVERED
230,10045,3,188,11,227.52,0.0,0.08,2025-04-14,2025-04-20,2025-04-15,N,DELIVERED
231,10045,4,148,10,101.04,0.05,0.08,2025-04-15,2025-04-20,2025-04-18,N,DELIVERED
232,10045,5,93,10,101.87,0.05,0.08,2025-04-15,2025-04-20,2025-04-18,N,DELIVERED
233,10045,6,230,8,111.72,0.05,0.08,2025-04-23,2025-04-20,2025-04-25,Y,RETURNED
234,10045,7,66,8,792.67,0.0,0.08,2025-04-23,2025-04-20,2025-04-25,N,DELIVERED
235,10046,1,161,2,360.09,0.15,0.08,2025-06-21,2025-06-20,2025-06-23,N,DELIVERED
236,10046,2,97,8,1051.92,0.25,0.08,2025-06-19,2025-06-20,2025-06-23,N,DELIVERED
237,10046,3,176,11,651.43,0.0,0.08,2025-06-19,2025-06-20,2025-06-23,N,DELIVERED
238,10046,4,217,12,674.96,0.1,0.08,2025-06-17,2025-06-20,2025-06-18,N,DELIVERED
239,10046,5,216,11,615.06,0.1,0.08,2025-06-22,2025-06-20,2025-06-25,N,DELIVERED
240,10046,6,103,6,502.83,0.15,0.08,2025-06-15,2025-06-20,2025-06-18,N,DELIVERED
241,10047,1,243,4,1397.56,0.2,0.08,2025-04-18,2025-04-18,2025-04-20,N,DELIVERED
242,10047,2,51,3,903.5,0.15,0.08,2025-04-21,2025-04-18,2025-04-23,N,DELIVERED
243,10047,3,180,8,719.28,0.25,0.08,2025-04-17,2025-04-18,2025-04-18,N,DELIVERED
244,10047,4,204,12,1161.23,0.2,0.08,2025-04-15,2025-04-18,2025-04-16,N,DELIVERED
245,10047,5,137,12,812.7,0.05,0.08,2025-04-18,2025-04-18,2025-04-19,N,DELIVERED
246,10047,6,132,7,147.67,0.2,0.08,2025-04-14,2025-04-18,2025-04-17,N,DELIVERED
247,10048,1,179,7,1268.27,0.2,0.08,2025-03-07,2025-03-07,2025-03-09,N,DELIVERED
248,10048,2,11,2,647.61,0.2,0.08,2025-03-08,2025-03-07,2025-03-10,N,DELIVERED
249,10048,3,55,6,1118.66,0.05,0.08,2025-03-05,2025-03-07,2025-03-08,N,DELIVERED
250,10048,4,146,10,1409.87,0.1,0.08,2025-03-02,2025-03-07,2025-03-04,N,DELIVERED
251,10048,5,66,7,792.67,0.05,0.08,2025-03-10,2025-03-07,,N,CANCELLED
252,10048,6,167,11,1220.51,0.25,0.08,2025-03-05,2025-03-07,2025-03-08,N,DELIVERED
253,10048,7,24,3,432.45,0.0,0.08,2025-03-03,2025-03-07,2025-03-07,N,DELIVERED
254,10049,1,212,10,1271.93,0.15,0.08,2025-03-15,2025-03-21,2025-03-17,N,DELIVERED
255,10049,2,56,6,349.04,0.15,0.08,2025-03-15,2025-03-21,2025-03-17,N,DELIVERED
256,10049,3,114,1,89.96,0.1,0.08,2025-03-16,2025-03-21,2025-03-17,N,DELIVERED
257,10049,4,199,6,548.14,0.2,0.08,2025-03-15,2025-03-21,2025-03-18,N,DELIVERED
258,10050,1,19,10,776.54,0.05,0.08,2025-05-06,2025-05-10,2025-05-08,N,DELIVERED
259,10050,2,37,2,1115.26,0.25,0.08,2025-05-09,2025-05-10,2025-05-13,N,DELIVERED
260,10050,3,167,10,1220.51,0.25,0.08,2025-05-05,2025-05-10,2025-05-08,N,DELIVERED
