cust_id,cust_name,mkt_segment,nation_name
232,Customer#000232,BUILDING,UNITED STATES
233,Customer#000233,AUTOMOBILE,CANADA
234,Customer#000234,FURNITURE,UNITED KINGDOM
235,Customer#000235,HOUSEHOLD,AUSTRALIA
236,Customer#000236,FURNITURE,FRANCE
237,Customer#000237,HOUSEHOLD,CANADA
238,Customer#000238,HOUSEHOLD,FRANCE
239,Customer#000239,AUTOMOBILE,UNITED STATES
240,Customer#000240,BUILDING,AUSTRALIA
241,Customer#000241,AUTOMOBILE,GERMANY
242,Customer#000242,FURNITURE,CANADA
243,Customer#000243,BUILDING,FRANCE
244,Customer#000244,BUILDING,CANADA
245,Customer#000245,AUTOMOBILE,CANADA
246,Customer#000246,FURNITURE,BRAZIL
247,Customer#000247,HOUSEHOLD,AUSTRALIA
248,Customer#000248,FURNITURE,CANADA
249,Customer#000249,AUTOMOBILE,CANADA
250,Customer#000250,HOUSEHOLD,JAPAN
251,Customer#000251,AUTOMOBILE,JAPAN
252,Customer#000252,FURNITURE,CANADA
253,Customer#000253,AUTOMOBILE,JAPAN
254,Customer#000254,HOUSEHOLD,UNITED KINGDOM
255,Customer#000255,MACHINERY,FRANCE
256,Customer#000256,MACHINERY,BRAZIL
257,Customer#000257,MACHINERY,UNITED KINGDOM
258,Customer#000258,AUTOMOBILE,GERMANY
259,Customer#000259,AUTOMOBILE,AUSTRALIA
260,Customer#000260,AUTOMOBILE,FRANCE
261,Customer#000261,BUILDING,AUSTRALIA
262,Customer#000262,HOUSEHOLD,BRAZIL
263,Customer#000263,FURNITURE,CANADA
264,Customer#000264,HOUSEHOLD,UNITED STATES
265,Customer#000265,AUTOMOBILE,AUSTRALIA
266,Customer#000266,HOUSEHOLD,UNITED STATES
267,Customer#000267,FURNITURE,AUSTRALIA
268,Customer#000268,HOUSEHOLD,UNITED STATES
269,Customer#000269,MACHINERY,JAPAN
270,Customer#000270,HOUSEHOLD,AUSTRALIA
271,Customer#000271,FURNITURE,FRANCE
272,Customer#000272,HOUSEHOLD,FRANCE
273,Customer#000273,MACHINERY,AUSTRALIA
274,Customer#000274,HOUSEHOLD,UNITED STATES
275,Customer#000275,HOUSEHOLD,BRAZIL
276,Customer#000276,HOUSEHOLD,GERMANY
277,Customer#000277,HOUSEHOLD,GERMANY
278,Customer#000278,FURNITURE,UNITED STATES
279,Customer#000279,HOUSEHOLD,UNITED STATES
280,Customer#000280,BUILDING,AUSTRALIA
281,Customer#000281,AUTOMOBILE,CANADA
282,Customer#000282,AUTOMOBILE,UNITED STATES
283,Customer#000283,MACHINERY,AUSTRALIA
284,Customer#000284,MACHINERY,FRANCE
285,Customer#000285,HOUSEHOLD,BRAZIL
286,Customer#000286,MACHINERY,AUSTRALIA
287,Customer#000287,MACHINERY,AUSTRALIA
288,Customer#000288,MACHINERY,UNITED KINGDOM
289,Customer#000289,HOUSEHOLD,UNITED STATES
290,Customer#000290,FURNITURE,UNITED STATES
291,Customer#000291,MACHINERY,FRANCE
292,Customer#000292,BUILDING,UNITED STATES
293,Customer#000293,BUILDING,FRANCE
294,Customer#000294,AUTOMOBILE,UNITED STATES
295,Customer#000295,FURNITURE,GERMANY
296,Customer#000296,AUTOMOBILE,GERMANY
297,Customer#000297,HOUSEHOLD,UNITED KINGDOM
298,Customer#000298,FURNITURE,FRANCE
299,Customer#000299,HOUSEHOLD,JAPAN
300,Customer#000300,MACHINERY,GERMANY
301,Customer#000301,FURNITURE,UNITED KINGDOM
302,Customer#000302,AUTOMOBILE,JAPAN
303,Customer#000303,BUILDING,UNITED STATES
304,Customer#000304,MACHINERY,AUSTRALIA
305,Customer#000305,HOUSEHOLD,FRANCE
306,Customer#000306,BUILDING,FRANCE
307,Customer#000307,BUILDING,JAPAN
308,Customer#000308,FURNITURE,UNITED KINGDOM
309,Customer#000309,FURNITURE,UNITED STATES
310,Customer#000310,MACHINERY,AUSTRALIA
311,Customer#000311,MACHINERY,UNITED KINGDOM
312,Customer#000312,FURNITURE,BRAZIL
313,Customer#000313,BUILDING,AUSTRALIA
314,Customer#000314,HOUSEHOLD,UNITED KINGDOM
315,Customer#000315,HOUSEHOLD,BRAZIL
316,Customer#000316,HOUSEHOLD,GERMANY
317,Customer#000317,HOUSEHOLD,GERMANY
318,Customer#000318,FURNITURE,JAPAN
319,Customer#000319,FURNITURE,CANADA
320,Customer#000320,HOUSEHOLD,AUSTRALIA
321,Customer#000321,FURNITURE,JAPAN
322,Customer#000322,MACHINERY,FRANCE
323,Customer#000323,BUILDING,JAPAN
324,Customer#000324,HOUSEHOLD,FRANCE
325,Customer#000325,HOUSEHOLD,AUSTRALIA
326,Customer#000326,MACHINERY,UNITED STATES
327,Customer#000327,HOUSEHOLD,BRAZIL
328,Customer#000328,AUTOMOBILE,CANADA
329,Customer#000329,AUTOMOBILE,BRAZIL
330,Customer#000330,MACHINERY,BRAZIL
331,Customer#000331,MACHINERY,JAPAN
332,Customer#000332,FURNITURE,UNITED STATES
333,Customer#000333,FURNITURE,FRANCE
334,Customer#000334,BUILDING,FRANCE
335,Customer#000335,HOUSEHOLD,CANADA
336,Customer#000336,FURNITURE,FRANCE
337,Customer#000337,HOUSEHOLD,CANADA
338,Customer#000338,HOUSEHOLD,UNITED STATES
339,Customer#000339,BUILDING,JAPAN
340,Customer#000340,AUTOMOBILE,AUSTRALIA
341,Customer#000341,AUTOMOBILE,JAPAN
342,Customer#000342,FURNITURE,BRAZIL
343,Customer#000343,HOUSEHOLD,BRAZIL
344,Customer#000344,HOUSEHOLD,BRAZIL
345,Customer#000345,MACHINERY,CANADA
346,Customer#000346,MACHINERY,JAPAN
347,Customer#000347,MACHINERY,FRANCE
348,Customer#000348,BUILDING,FRANCE
349,Customer#000349,MACHINERY,UNITED KINGDOM
350,Customer#000350,FURNITURE,GERMANY
351,Customer#000351,AUTOMOBILE,FRANCE
352,Customer#000352,HOUSEHOLD,JAPAN
353,Customer#000353,FURNITURE,JAPAN
354,Customer#000354,BUILDING,FRANCE
355,Customer#000355,MACHINERY,FRANCE
356,Customer#000356,MACHINERY,GERMANY
357,Customer#000357,MACHINERY,UNITED STATES
358,Customer#000358,FURNITURE,GERMANY
359,Customer#000359,MACHINERY,UNITED STATES
360,Customer#000360,BUILDING,JAPAN
361,Customer#000361,AUTOMOBILE,CANADA
362,Customer#000362,BUILDING,UNITED STATES
363,Customer#000363,FURNITURE,JAPAN
364,Customer#000364,HOUSEHOLD,CANADA
365,Customer#000365,HOUSEHOLD,BRAZIL
366,Customer#000366,AUTOMOBILE,UNITED STATES
367,Customer#000367,MACHINERY,CANADA
368,Customer#000368,BUILDING,UNITED KINGDOM
369,Customer#000369,HOUSEHOLD,CANADA
370,Customer#000370,BUILDING,UNITED STATES
371,Customer#000371,AUTOMOBILE,GERMANY
372,Customer#000372,FURNITURE,JAPAN
373,Customer#000373,BUILDING,FRANCE
374,Customer#000374,BUILDING,AUSTRALIA
375,Customer#000375,FURNITURE,FRANCE
376,Customer#000376,FURNITURE,AUSTRALIA
377,Customer#000377,HOUSEHOLD,CANADA
378,Customer#000378,MACHINERY,AUSTRALIA
379,Customer#000379,MACHINERY,UNITED STATES
380,Customer#000380,FURNITURE,UNITED KINGDOM
381,Customer#000381,AUTOMOBILE,FRANCE
382,Customer#000382,MACHINERY,UNITED KINGDOM
383,Customer#000383,AUTOMOBILE,FRANCE
384,Customer#000384,AUTOMOBILE,UNITED KINGDOM
385,Customer#000385,AUTOMOBILE,UNITED STATES
386,Customer#000386,HOUSEHOLD,CANADA
387,Customer#000387,FURNITURE,CANADA
388,Customer#000388,MACHINERY,UNITED STATES
389,Customer#000389,AUTOMOBILE,JAPAN
390,Customer#000390,MACHINERY,CANADA
391,Customer#000391,BUILDING,FRANCE
392,Customer#000392,MACHINERY,FRANCE
393,Customer#000393,HOUSEHOLD,UNITED KINGDOM
394,Customer#000394,FURNITURE,FRANCE
395,Customer#000395,AUTOMOBILE,JAPAN
396,Customer#000396,AUTOMOBILE,UNITED KINGDOM
397,Customer#000397,BUILDING,GERMANY
398,Customer#000398,MACHINERY,JAPAN
399,Customer#000399,HOUSEHOLD,UNITED KINGDOM
400,Customer#000400,HOUSEHOLD,JAPAN
401,Customer#000401,HOUSEHOLD,JAPAN
402,Customer#000402,FURNITURE,CANADA
403,Customer#000403,HOUSEHOLD,UNITED KINGDOM
404,Customer#000404,FURNITURE,UNITED STATES
405,Customer#000405,HOUSEHOLD,BRAZIL
406,Customer#000406,FURNITURE,JAPAN
407,Customer#000407,BUILDING,UNITED KINGDOM
408,Customer#000408,AUTOMOBILE,UNITED STATES
409,Customer#000409,MACHINERY,UNITED STATES
410,Customer#000410,AUTOMOBILE,CANADA
411,Customer#000411,FURNITURE,CANADA
412,Customer#000412,MACHINERY,GERMANY
413,Customer#000413,FURNITURE,AUSTRALIA
414,Customer#000414,HOUSEHOLD,UNITED KINGDOM
415,Customer#000415,HOUSEHOLD,BRAZIL
416,Customer#000416,HOUSEHOLD,BRAZIL
417,Customer#000417,MACHINERY,UNITED KINGDOM
418,Customer#000418,AUTOMOBILE,BRAZIL
419,Customer#000419,HOUSEHOLD,CANADA
420,Customer#000420,MACHINERY,AUSTRALIA
421,Customer#000421,FURNITURE,UNITED STATES
422,Customer#000422,HOUSEHOLD,UNITED KINGDOM
423,Customer#000423,MACHINERY,JAPAN
424,Customer#000424,MACHINERY,UNITED KINGDOM
425,Customer#000425,HOUSEHOLD,UNITED STATES
426,Customer#000426,FURNITURE,CANADA
427,Customer#000427,HOUSEHOLD,UNITED STATES
428,Customer#000428,AUTOMOBILE,BRAZIL
429,Customer#000429,FURNITURE,CANADA
430,Customer#000430,HOUSEHOLD,UNITED STATES
431,Customer#000431,AUTOMOBILE,JAPAN
432,Customer#000432,FURNITURE,GERMANY
433,Customer#000433,MACHINERY,CANADA
434,Customer#000434,HOUSEHOLD,UNITED KINGDOM
435,Customer#000435,BUILDING,FRANCE
436,Customer#000436,AUTOMOBILE,JAPAN
437,Customer#000437,FURNITURE,UNITED STATES
438,Customer#000438,FURNITURE,AUSTRALIA
439,Customer#000439,BUILDING,FRANCE
440,Customer#000440,BUILDING,CANADA
441,Customer#000441,BUILDING,GERMANY
442,Customer#000442,HOUSEHOLD,JAPAN
443,Customer#000443,FURNITURE,JAPAN
444,Customer#000444,HOUSEHOLD,CANADA
445,Customer#000445,HOUSEHOLD,FRANCE
446,Customer#000446,HOUSEHOLD,GERMANY
447,Customer#000447,HOUSEHOLD,FRANCE
448,Customer#000448,FURNITURE,GERMANY
449,Customer#000449,BUILDING,JAPAN
450,Customer#000450,HOUSEHOLD,BRAZIL
451,Customer#000451,FURNITURE,JAPAN
452,Customer#000452,BUILDING,JAPAN
453,Customer#000453,MACHINERY,CANADA
454,Customer#000454,AUTOMOBILE,CANADA
455,Customer#000455,FURNITURE,CANADA
456,Customer#000456,MACHINERY,BRAZIL
457,Customer#000457,FURNITURE,AUSTRALIA
458,Customer#000458,HOUSEHOLD,BRAZIL
459,Customer#000459,AUTOMOBILE,FRANCE
460,Customer#000460,FURNITURE,AUSTRALIA
461,Customer#000461,AUTOMOBILE,AUSTRALIA
462,Customer#000462,BUILDING,BRAZIL
463,Customer#000463,HOUSEHOLD,AUSTRALIA
464,Customer#000464,HOUSEHOLD,GERMANY
465,Customer#000465,HOUSEHOLD,UNITED STATES
466,Customer#000466,AUTOMOBILE,BRAZIL
467,Customer#000467,BUILDING,CANADA
468,Customer#000468,BUILDING,CANADA
469,Customer#000469,BUILDING,GERMANY
470,Customer#000470,HOUSEHOLD,GERMANY
471,Customer#000471,BUILDING,CANADA
472,Customer#000472,MACHINERY,BRAZIL
473,Customer#000473,FURNITURE,AUSTRALIA
474,Customer#000474,BUILDING,BRAZIL
475,Customer#000475,FURNITURE,AUSTRALIA
476,Customer#000476,MACHINERY,CANADA
477,Customer#000477,FURNITURE,UNITED STATES
478,Customer#000478,FURNITURE,UNITED KINGDOM
479,Customer#000479,AUTOMOBILE,JAPAN
480,Customer#000480,AUTOMOBILE,UNITED KINGDOM
481,Customer#000481,HOUSEHOLD,UNITED KINGDOM
482,Customer#000482,BUILDING,CANADA
483,Customer#000483,AUTOMOBILE,JAPAN
484,Customer#000484,BUILDING,UNITED STATES
485,Customer#000485,MACHINERY,UNITED STATES
486,Customer#000486,MACHINERY,BRAZIL
487,Customer#000487,MACHINERY,AUSTRALIA
488,Customer#000488,AUTOMOBILE,FRANCE
489,Customer#000489,FURNITURE,AUSTRALIA
490,Customer#000490,FURNITURE,GERMANY
491,Customer#000491,AUTOMOBILE,GERMANY
492,Customer#000492,BUILDING,AUSTRALIA
493,Customer#000493,FURNITURE,FRANCE
494,Customer#000494,HOUSEHOLD,GERMANY
495,Customer#000495,AUTOMOBILE,CANADA
496,Customer#000496,MACHINERY,CANADA
497,Customer#000497,MACHINERY,UNITED STATES
498,Customer#000498,HOUSEHOLD,JAPAN
499,Customer#000499,FURNITURE,GERMANY
500,Customer#000500,BUILDING,CANADA
501,Customer#000501,MACHINERY,JAPAN
502,Customer#000502,HOUSEHOLD,JAPAN
503,Customer#000503,HOUSEHOLD,JAPAN
504,Customer#000504,AUTOMOBILE,AUSTRALIA
505,Customer#000505,HOUSEHOLD,UNITED KINGDOM
506,Customer#000506,AUTOMOBILE,AUSTRALIA
507,Customer#000507,FURNITURE,BRAZIL
508,Customer#000508,FURNITURE,JAPAN
509,Customer#000509,MACHINERY,UNITED STATES
510,Customer#000510,HOUSEHOLD,JAPAN
511,Customer#000511,BUILDING,UNITED STATES
512,Customer#000512,FURNITURE,CANADA
513,Customer#000513,MACHINERY,FRANCE
514,Customer#000514,FURNITURE,BRAZIL
515,Customer#000515,AUTOMOBILE,FRANCE
516,Customer#000516,FURNITURE,JAPAN
517,Customer#000517,AUTOMOBILE,UNITED KINGDOM
518,Customer#000518,BUILDING,JAPAN
519,Customer#000519,HOUSEHOLD,UNITED STATES
520,Customer#000520,FURNITURE,BRAZIL
521,Customer#000521,AUTOMOBILE,UNITED KINGDOM
522,Customer#000522,MACHINERY,BRAZIL
523,Customer#000523,HOUSEHOLD,GERMANY
524,Customer#000524,AUTOMOBILE,GERMANY
525,Customer#000525,FURNITURE,BRAZIL
526,Customer#000526,FURNITURE,JAPAN
527,Customer#000527,AUTOMOBILE,JAPAN
528,Customer#000528,HOUSEHOLD,JAPAN
529,Customer#000529,MACHINERY,UNITED KINGDOM
530,Customer#000530,HOUSEHOLD,UNITED KINGDOM
531,Customer#000531,AUTOMOBILE,FRANCE
532,Customer#000532,HOUSEHOLD,BRAZIL
533,Customer#000533,BUILDING,AUSTRALIA
534,Customer#000534,BUILDING,JAPAN
535,Customer#000535,FURNITURE,UNITED KINGDOM
536,Customer#000536,HOUSEHOLD,BRAZIL
537,Customer#000537,MACHINERY,AUSTRALIA
538,Customer#000538,MACHINERY,UNITED KINGDOM
539,Customer#000539,AUTOMOBILE,CANADA
540,Customer#000540,BUILDING,BRAZIL
541,Customer#000541,FURNITURE,FRANCE
542,Customer#000542,BUILDING,CANADA
543,Customer#000543,MACHINERY,AUSTRALIA
544,Customer#000544,BUILDING,GERMANY
545,Customer#000545,BUILDING,UNITED STATES
546,Customer#000546,MACHINERY,CANADA
547,Customer#000547,BUILDING,UNITED KINGDOM
548,Customer#000548,AUTOMOBILE,GERMANY
549,Customer#000549,HOUSEHOLD,CANADA
550,Customer#000550,MACHINERY,AUSTRALIA
551,Customer#000551,FURNITURE,GERMANY
552,Customer#000552,HOUSEHOLD,UNITED KINGDOM
553,Customer#000553,HOUSEHOLD,AUSTRALIA
554,Customer#000554,MACHINERY,UNITED STATES
555,Customer#000555,MACHINERY,FRANCE
556,Customer#000556,HOUSEHOLD,CANADA
557,Customer#000557,AUTOMOBILE,BRAZIL
558,Customer#000558,BUILDING,BRAZIL
559,Customer#000559,FURNITURE,BRAZIL
560,Customer#000560,BUILDING,AUSTRALIA
561,Customer#000561,MACHINERY,FRANCE
562,Customer#000562,BUILDING,CANADA
563,Customer#000563,BUILDING,FRANCE
564,Customer#000564,FURNITURE,UNITED STATES
565,Customer#000565,BUILDING,BRAZIL
566,Customer#000566,AUTOMOBILE,GERMANY
567,Customer#000567,FURNITURE,FRANCE
568,Customer#000568,BUILDING,FRANCE
569,Customer#000569,FURNITURE,FRANCE
570,Customer#000570,AUTOMOBILE,BRAZIL
571,Customer#000571,AUTOMOBILE,UNITED STATES
572,Customer#000572,MACHINERY,GERMANY
573,Customer#000573,AUTOMOBILE,JAPAN
574,Customer#000574,AUTOMOBILE,UNITED KINGDOM
575,Customer#000575,BUILDING,GERMANY
576,Customer#000576,BUILDING,BRAZIL
577,Customer#000577,AUTOMOBILE,BRAZIL
