part_id,part_name,mfgr,category,supply_cost
144,Part#00144,MFGR#1,STRUCTURAL,39.35
145,Part#00145,MFGR#5,ELECTRONICS,17.0
146,Part#00146,MFGR#3,HYDRAULICS,73.09
147,Part#00147,MFGR#1,HYDRAULICS,108.36
148,Part#00148,MFGR#3,HYDRAULICS,80.38
149,Part#00149,MFGR#1,FASTENERS,88.24
150,Part#00150,MFGR#2,HYDRAULICS,45.24
151,Part#00151,MFGR#2,STRUCTURAL,51.1
152,Part#00152,MFGR#3,STRUCTURAL,38.07
153,Part#00153,MFGR#4,FASTENERS,104.61
154,Part#00154,MFGR#4,HYDRAULICS,107.73
155,Part#00155,MFGR#3,HYDRAULICS,102.47
156,Part#00156,MFGR#2,STRUCTURAL,98.97
157,Part#00157,MFGR#1,HYDRAULICS,36.76
158,Part#00158,MFGR#2,FASTENERS,28.56
159,Part#00159,MFGR#1,HYDRAULICS,78.6
160,Part#00160,MFGR#4,ELECTRONICS,114.02
161,Part#00161,MFGR#5,HARDWARE,39.65
162,Part#00162,MFGR#3,ELECTRONICS,119.92
163,Part#00163,MFGR#2,FASTENERS,52.49
164,Part#00164,MFGR#5,HARDWARE,101.93
165,Part#00165,MFGR#3,HYDRAULICS,99.72
166,Part#00166,MFGR#2,HARDWARE,26.97
167,Part#00167,MFGR#4,ELECTRONICS,74.01
168,Part#00168,MFGR#3,HARDWARE,119.33
169,Part#00169,MFGR#5,ELECTRONICS,95.86
170,Part#00170,MFGR#5,STRUCTURAL,109.11
171,Part#00171,MFGR#1,HYDRAULICS,85.3
172,Part#00172,MFGR#1,HARDWARE,98.89
173,Part#00173,MFGR#5,HARDWARE,97.07
174,Part#00174,MFGR#1,STRUCTURAL,101.48
175,Part#00175,MFGR#1,FASTENERS,26.07
176,Part#00176,MFGR#2,ELECTRONICS,110.65
177,Part#00177,MFGR#5,HYDRAULICS,89.36
178,Part#00178,MFGR#1,FASTENERS,91.92
179,Part#00179,MFGR#3,FASTENERS,82.94
180,Part#00180,MFGR#2,HYDRAULICS,27.91
181,Part#00181,MFGR#1,FASTENERS,116.81
182,Part#00182,MFGR#4,ELECTRONICS,102.66
183,Part#00183,MFGR#2,HARDWARE,45.11
184,Part#00184,MFGR#4,ELECTRONICS,42.93
185,Part#00185,MFGR#2,FASTENERS,81.09
186,Part#00186,MFGR#5,HYDRAULICS,94.09
187,Part#00187,MFGR#2,HYDRAULICS,97.66
188,Part#00188,MFGR#4,HYDRAULICS,58.41
189,Part#00189,MFGR#5,ELECTRONICS,114.94
190,Part#00190,MFGR#4,FASTENERS,114.09
191,Part#00191,MFGR#5,HARDWARE,95.87
192,Part#00192,MFGR#3,HYDRAULICS,23.9
193,Part#00193,MFGR#2,HYDRAULICS,118.1
194,Part#00194,MFGR#1,FASTENERS,21.45
195,Part#00195,MFGR#1,STRUCTURAL,109.76
196,Part#00196,MFGR#4,HYDRAULICS,117.13
197,Part#00197,MFGR#5,ELECTRONICS,108.01
198,Part#00198,MFGR#3,ELECTRONICS,90.76
199,Part#00199,MFGR#3,STRUCTURAL,15.83
200,Part#00200,MFGR#2,HYDRAULICS,79.09
201,Part#00201,MFGR#2,STRUCTURAL,61.85
202,Part#00202,MFGR#5,HYDRAULICS,80.56
203,Part#00203,MFGR#4,FASTENERS,88.23
204,Part#00204,MFGR#1,HARDWARE,107.5
205,Part#00205,MFGR#4,FASTENERS,71.43
206,Part#00206,MFGR#5,ELECTRONICS,69.65
207,Part#00207,MFGR#5,STRUCTURAL,37.44
208,Part#00208,MFGR#3,FASTENERS,47.79
209,Part#00209,MFGR#5,STRUCTURAL,17.46
210,Part#00210,MFGR#3,HYDRAULICS,42.16
211,Part#00211,MFGR#1,HARDWARE,118.63
212,Part#00212,MFGR#3,STRUCTURAL,103.37
213,Part#00213,MFGR#1,HARDWARE,52.22
214,Part#00214,MFGR#5,HARDWARE,62.12
215,Part#00215,MFGR#2,STRUCTURAL,62.58
216,Part#00216,MFGR#5,STRUCTURAL,74.39
217,Part#00217,MFGR#3,ELECTRONICS,39.55
218,Part#00218,MFGR#5,FASTENERS,85.03
219,Part#00219,MFGR#5,FASTENERS,90.01
220,Part#00220,MFGR#5,STRUCTURAL,26.05
221,Part#00221,MFGR#3,HYDRAULICS,35.22
222,Part#00222,MFGR#4,HYDRAULICS,25.29
223,Part#00223,MFGR#1,HYDRAULICS,23.6
224,Part#00224,MFGR#4,FASTENERS,108.29
225,Part#00225,MFGR#3,STRUCTURAL,61.85
226,Part#00226,MFGR#5,STRUCTURAL,57.29
227,Part#00227,MFGR#3,STRUCTURAL,96.78
228,Part#00228,MFGR#4,HYDRAULICS,67.38
229,Part#00229,MFGR#4,HYDRAULICS,87.35
230,Part#00230,MFGR#2,STRUCTURAL,101.5
231,Part#00231,MFGR#4,FASTENERS,28.35
232,Part#00232,MFGR#5,STRUCTURAL,116.64
233,Part#00233,MFGR#2,HYDRAULICS,27.4
234,Part#00234,MFGR#2,STRUCTURAL,64.7
235,Part#00235,MFGR#1,STRUCTURAL,53.78
236,Part#00236,MFGR#1,HARDWARE,104.49
237,Part#00237,MFGR#3,HARDWARE,53.81
238,Part#00238,MFGR#1,ELECTRONICS,69.89
239,Part#00239,MFGR#3,ELECTRONICS,47.02
240,Part#00240,MFGR#1,FASTENERS,45.87
241,Part#00241,MFGR#5,HYDRAULICS,29.92
242,Part#00242,MFGR#3,ELECTRONICS,20.11
243,Part#00243,MFGR#4,HARDWARE,37.64
244,Part#00244,MFGR#3,HARDWARE,27.84
245,Part#00245,MFGR#4,HYDRAULICS,106.39
246,Part#00246,MFGR#5,HYDRAULICS,75.17
247,Part#00247,MFGR#4,HYDRAULICS,109.53
248,Part#00248,MFGR#5,FASTENERS,102.62
249,Part#00249,MFGR#5,HYDRAULICS,95.0
250,Part#00250,MFGR#4,FASTENERS,94.98
251,Part#00251,MFGR#3,HARDWARE,105.97
252,Part#00252,MFGR#5,HYDRAULICS,98.98
253,Part#00253,MFGR#4,ELECTRONICS,55.66
254,Part#00254,MFGR#4,ELECTRONICS,71.8
255,Part#00255,MFGR#2,HARDWARE,82.82
256,Part#00256,MFGR#3,STRUCTURAL,75.06
257,Part#00257,MFGR#5,HARDWARE,82.74
258,Part#00258,MFGR#5,STRUCTURAL,35.2
259,Part#00259,MFGR#1,STRUCTURAL,75.57
260,Part#00260,MFGR#4,STRUCTURAL,69.78
261,Part#00261,MFGR#1,STRUCTURAL,109.17
262,Part#00262,MFGR#1,ELECTRONICS,33.87
263,Part#00263,MFGR#2,STRUCTURAL,97.61
264,Part#00264,MFGR#5,STRUCTURAL,61.64
265,Part#00265,MFGR#5,HARDWARE,48.65
266,Part#00266,MFGR#1,ELECTRONICS,66.6
267,Part#00267,MFGR#4,HARDWARE,60.89
268,Part#00268,MFGR#3,HYDRAULICS,105.26
269,Part#00269,MFGR#1,HARDWARE,42.0
270,Part#00270,MFGR#3,FASTENERS,71.89
271,Part#00271,MFGR#1,FASTENERS,34.18
272,Part#00272,MFGR#4,FASTENERS,47.21
273,Part#00273,MFGR#3,FASTENERS,21.19
274,Part#00274,MFGR#1,ELECTRONICS,17.85
275,Part#00275,MFGR#3,FASTENERS,55.94
276,Part#00276,MFGR#3,ELECTRONICS,58.35
277,Part#00277,MFGR#1,HARDWARE,54.43
278,Part#00278,MFGR#5,STRUCTURAL,36.27
279,Part#00279,MFGR#5,STRUCTURAL,39.83
280,Part#00280,MFGR#1,ELECTRONICS,55.43
281,Part#00281,MFGR#4,STRUCTURAL,21.37
282,Part#00282,MFGR#4,HARDWARE,57.74
283,Part#00283,MFGR#2,HARDWARE,57.79
284,Part#00284,MFGR#5,HARDWARE,43.26
285,Part#00285,MFGR#5,FASTENERS,40.86
286,Part#00286,MFGR#4,HYDRAULICS,46.98
287,Part#00287,MFGR#5,FASTENERS,23.81
288,Part#00288,MFGR#2,ELECTRONICS,97.2
289,Part#00289,MFGR#2,FASTENERS,71.75
290,Part#00290,MFGR#4,STRUCTURAL,71.44
291,Part#00291,MFGR#1,HYDRAULICS,62.43
292,Part#00292,MFGR#5,ELECTRONICS,115.92
293,Part#00293,MFGR#2,HARDWARE,83.57
294,Part#00294,MFGR#4,ELECTRONICS,21.32
295,Part#00295,MFGR#4,ELECTRONICS,77.78
296,Part#00296,MFGR#2,STRUCTURAL,103.46
297,Part#00297,MFGR#3,HARDWARE,103.27
298,Part#00298,MFGR#5,STRUCTURAL,31.95
299,Part#00299,MFGR#1,HYDRAULICS,22.34
